cbsafp,name,name_short,lat,lon,weather,zhvi,dest_index,walkscore,population,pm25,preference_points,weather_points,zhvi_points,dest_points,walkscore_points,total_not_weighted,total_weighted,rank
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,41.8235214,-87.8282967,112,285946.25322211644,363.4,70.09,9498716,10.500867989458646,45,93.02325581395348,89.13907132877875,70.73948151296217,70.09,73.59836173113888,79.15893165471442,1
12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta,33.693728,-84.3999113,114,277007.7369679858,356.6,46.57,5949951,11.608670217228676,50,91.86046511627907,91.01158907528,69.29451763705907,46.57,69.74731436572362,76.11299652906558,2
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,39.8951304,-75.3120032,116,290801.0512890897,158.4,69.38,6096372,11.130032167995216,100,90.69767441860465,88.12204621212291,27.178070548236295,69.38,75.07555823579277,74.95364657793529,3
35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,40.8987884,-73.9031302,123,578042.9489234162,501.1,80.81,19979477,10.284963178793683,95,86.62790697674419,27.948127457943286,100,80.81,78.07720688693749,71.66291498156903,4
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis,45.0611788,-93.3515996,100,328933.960354157,148.6,67.65,3629190,7.909776448888158,30,100,80.1336343862721,25.09562260943476,67.65,60.57585139914138,67.20671483776857,5
45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa,28.1259071,-82.4652858,102,272060.2224823574,97.5,43.7,3142663,9.40760846536842,35,98.83720930232558,92.04803722976314,14.237144071398214,43.7,56.76447812069739,65.22614230878997,6
35380,"New Orleans-Metairie, LA",New Orleans,29.805532,-89.7013821,128,234101.3040118581,55.8,53.650000000000006,1270399,9.708074271427632,5,83.72093023255815,100,5.376115597110071,53.650000000000006,49.549409165933646,60.55295567756155,7
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,38.8169283,-77.4482275,109,512700.3252212825,252,66.2,6249950,10.461183707175438,50,94.76744186046511,41.6366658021742,47.067573310667235,66.2,59.934336194661306,60.526374867901986,8
27260,"Jacksonville, FL",Jacksonville,30.2371049,-81.7552353,129,264749.06226866215,30.5,29.450000000000003,1534701,8.994921196010527,25,83.13953488372093,93.57964234837907,0,29.450000000000003,46.233835446419995,55.77627642544395,9
12420,"Austin-Round Rock, TX",Austin,30.2395128,-97.6912697,106,390171.198407525,50.2,41.17,2168316,7.765599145536842,35,96.51162790697674,67.30512775927312,4.186145346366342,41.17,48.83458020252324,54.83217437379939,10
14460,"Boston-Cambridge-Newton, MA-NH",Boston,42.517606,-71.0219925,114,575568.9070338834,133,73.8,4875390,7.675742779473684,35,91.86046511627907,28.466411165443034,21.78070548236294,73.8,50.181516352817006,50.43118072517527,11
38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland,45.6006204,-122.4843457,154,463216.115619257,68.19999999999999,63.84,2478810,4.136313043338346,45,68.6046511627907,52.003046308397515,8.011049723756903,63.84,47.491749438989025,48.43028662796831,12
42660,"Seattle-Tacoma-Bellevue, WA",Seattle,47.4905993,-121.833996,189,620498.5979898085,114.19999999999999,65.94,3939363,4.569429393824562,85,48.25581395348837,19.054150643915463,17.785805354866124,65.94,47.20715399045399,39.72835975251996,13
41740,"San Diego-Carlsbad, CA",San Diego,33.0236041,-116.7761174,272,711454.1232752287,68.3,41.61,3343364,6.735419123421052,80,0,0,8.032299192520185,41.61,25.928459838504033,15.847959838504035,14
