"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001017101","1981","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","","","","","180","C","88","C","0","","1","C","","","","","0","C","27","C","0","C","","","0","T,C,0212,","30",",C,0211,","24.0",",C,1031,","28.0","C,0809,+","","","","","","","","","","","","","","","","","","","","","2791.1","","2791.1","","706.3",",C","50",",C","","","13.53","C","","","","","",""
"CA001017101","1982","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","14.1","","14.1","C","161","C","83","C","6","","2","C","0","C","14","C","4","C","31","C","0","C","-8.0","C,0105,","80",",C,0105,","50",",C,0122,","31.6",",C,1202,","27.0","C,0726,+","-1.5","C,1122","","","","","","","","","0.0","C,0223","-3.0","C,0209","-4.5","C,0107","-7.0","C,0106","","","","","","","685.1",",C","150",",C","9.67","C","12.93","C","6.41","C","","","",""
"CA001017101","1983","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","13.7","","13.7","C","151","C","81","C","0","","0","C","0","C","15","C","4","C","25","C","0","C","-8.0","C,1223,+","20",",C,1229,+","20",",C,1228,+","38.2",",C,0104,","28.5","C,0730,","0.0","C,1031","-5.0","C,1207","-5.0","C,1207","-8.0","C,1220","","","","","","","","","","","","","2815.3","","2815.3","C","711.2",",C","40",",C","10.49","C","13.59","C","7.39","C","","","",""
"CA001017101","1984","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","10.3","","10.3","C","192","C","95","C","4","","3","C","0","C","20","C","5","C","23","C","0","C","-7.0","C,1230,","220",",C,1230,","90",",C,1227,","25.4",",C,0525,","26.5","C,0723,","0.0","C,1025","-3.0","C,1031","-5.5","C,1229","-7.0","C,1230","","","0.0","C,0121","","","","","","","","","3150.0","","3150.0","C","839.0",",C","290",",C","9.61","C","12.60","C","6.63","C","","","",""
"CA001017101","1985","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","30.8","","30.8","C","133","C","55","C","17","","6","C","0","C","30","C","13","C","38","C","0","C","-10.0","C,1127,","180",",C,0101,","100",",C,1126,","37.8",",C,1026,","27.0","C,0718,+","-0.5","C,1111","-4.0","C,1121","-6.5","C,1122","-10.0","C,1127","-10.0","C,1127","0.0","C,0403","-3.0","C,0101","","","","","","","3232.0","","3232.0","C","451.8",",C","306",",C","9.53","C","12.34","C","6.72","C","","","",""
"CA001017101","1986","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","24.5","","24.5","C","162","C","76","C","1","","1","C","0","C","5","C","0","C","37","C","0","C","-5.0","C,0219,","50",",C,0218,","40",",C,0217,","44.4",",C,0223,","27.5","C,0820,","","","","","","","","","","","-0.5","C,0221","-5.0","C,0219","-5.0","C,0219","","","","","3004.0","","3004.0","C","732.6",",C","100",",C","10.74","C","13.36","C","8.12","C","","","",""
"CA001017101","1987","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","25.0","","25.0","C","136","C","53","C","0","","0","C","0","C","0","C","0","C","39","C","0","C","0.5","C,0115,","0",",C,1231,+","0","T,C,1213,+","32.2",",C,1209,","27.5","C,0629,","","","","","","","","","","","","","","","","","","","","","2679.3","","2679.3","C","455.4",",C","0","T,C","11.29","C","13.98","C","8.60","C","","","",""
"CA001017101","1988","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","31.2","","31.2","C","147","C","70","C","0","","0","C","0","C","4","C","0","C","31","C","0","C","-3.0","C,0201,","0",",C,1231,+","0","T,C,1124,+","21.8",",C,0512,","27.5","C,0903,","","","","","","","","","","","-0.5","C,0202","-3.0","C,0201","","","","","","","2739.9","","2739.9","C","662.3",",C","0","T,C","10.78","C","13.29","C","8.26","C","","","",""
"CA001017101","1989","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","14.9","","14.9","C","155","C","73","C","2","","3","C","0","C","15","C","4","C","29","C","0","C","-12.0","C,0201,","60",",C,0218,","120",",C,0217,","28.2",",C,1103,","27.5","C,0624,","","","","","","","","","","","-1.0","C,0303","-2.5","C,0302","-5.5","C,0204","-9.5","C,0203","-9.5","C,0203","2857.4","","2857.4","C","669.6",",C","180",",C","10.52","C","13.15","C","7.88","C","","","",""
"CA001017101","1990","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","51.4","","51.4","C","181","C","93","C","5","","2","C","0","C","21","C","7","C","40","C","0","C","-9.5","C,1229,","50",",C,1230,","50",",C,1229,","55.8",",C,1109,","28.0","C,0811,+","-3.0","C,1218","-3.0","C,1218","-6.5","C,1219","-7.5","C,1220","-9.0","C,1228","0.0","C,0219","-3.0","C,0218","-5.0","C,0217","","","","","2778.5","","2778.5","C","847.8",",C","160",",C","10.59","C","13.22","C","7.96","C","","","",""
"CA001017101","1991","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","14.0","","14.0","C","148","C","71","C","5","","4","C","0","C","9","C","3","C","27","C","0","C","-4.0","C,0105,","330",",C,0109,","150",",C,0107,+","33.2",",C,0403,","26.5","C,0723,","","","","","","","","","","","-0.5","C,0302","-3.0","C,0107","","","","","","","2922.0","","2922.0","C","610.0",",C","446",",C","10.64","C","13.11","C","8.16","C","","","",""
"CA001017101","1992","48.7833","-123.05","24.0","SATURNA ISLAND CS, BC CA","38.8","","38.8","C","143","C","75","C","1","","0","C","0","C","6","C","3","C","35","C","0","C","-5.0","C,1229,","30",",C,1229,","10",",C,1216,","17.0",",C,0704,+","26.0","C,0622,+","-0.5","C,1218","-4.5","C,1228","-4.5","C,1228","","","","","","","","","","","","","","","2458.5","","2458.5","C","610.4",",C","10",",C","11.36","C","13.87","C","8.84","C","","","",""
