"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA0061219J1","1970","42.7667","-82.45","186.0","COURTRIGHT, ON CA","427.8","","427.8","C","114","C","77","C","19","C","13","C","132","C","64","C","134","C","5","C","-23.9","C,0124,+","178",",C,1211,","53.3",",C,0917,","32.8","C,0701,","0.0","C,1016","-4.4","C,1116","-4.4","C,1116","-8.9","C,1123","-8.9","C,1123","-0.6","C,0507","-2.8","C,0412","-5.0","C,0331","-6.7","C,0330","-11.1","C,0316","3919.4","","","","867.3",",C","1436",",C","8.93","C","13.65","C","4.22","C"
"CA0061219J1","1971","42.7667","-82.45","186.0","COURTRIGHT, ON CA","361.1","","361.1","C","100","C","57","C","10","C","1","C","129","C","48","C","135","C","8","C","-21.1","C,0202,","150",",C,0212,","27.2",",C,0222,","37.8","C,0628,","0.0","C,1104","-5.6","C,1107","-5.6","C,1107","-10.0","C,1123","-10.0","C,1123","0.0","C,0513","-2.2","C,0424","-5.0","C,0406","-7.2","C,0326","-10.0","C,0309","3720.7","","3720.7","C","544.2",",C","721",",C","9.39","C","14.24","C","4.53","C"
"CA0061219J1","1972","42.7667","-82.45","186.0","COURTRIGHT, ON CA","279.8","","279.8","C","131","C","78","C","17","C","6","C","151","C","53","C","117","C","5","C","-22.8","C,0116,","117",",C,0104,","60.2",",C,1022,","34.4","C,0722,","0.0","C,1015","-2.2","C,1018","-6.1","C,1202","-13.9","C,1207","-13.9","C,1207","-0.6","C,0428","-7.2","C,0409","-7.2","C,0409","-7.2","C,0409","-10.0","C,0407","3681.0","","3681.0","C","784.1",",C","992",",C","8.04","C","12.42","C","3.66","C"
"CA0061219J1","1973","42.7667","-82.45","186.0","COURTRIGHT, ON CA","402.0","","402.0","C","133","C","82","C","10","C","3","C","108","C","44","C","130","C","13","C","-18.9","C,0218,+","264",",C,0215,","31.0",",C,0628,","35.6","C,0828,","0.0","C,1019","-2.2","C,1105","-4.4","C,1107","-6.7","C,1212","-11.7","C,1215","-2.8","C,0414","-2.8","C,0414","-4.4","C,0411","-14.4","C,0228","-14.4","C,0228","3589.5","","3589.5","C","842.1",",C","1083",",C","10.02","C","14.55","C","5.49","C"
"CA0061219J1","1974","42.7667","-82.45","186.0","COURTRIGHT, ON CA","270.3","","270.3","C","153","C","82","C","12","C","5","C","143","C","46","C","121","C","9","C","-22.2","C,0205,","282",",C,0206,","36.8",",C,0403,+","35.6","C,0709,","-0.6","C,0923","-3.9","C,1019","-7.8","C,1126","-7.8","C,1126","-11.1","C,1222","-1.7","C,0507","-2.2","C,0425","-6.1","C,0408","-17.2","C,0325","-17.2","C,0325","3687.3","","3687.3","C","853.9",",C","1267",",C","8.54","C","13.32","C","3.75","C"
"CA0061219J1","1975","42.7667","-82.45","186.0","COURTRIGHT, ON CA","359.6","","359.6","C","156","C","88","C","19","C","0","C","136","C","57","C","122","C","4","C","-16.7","C,1229,+","226",",C,1226,","46.7",",C,0821,","35.6","C,0731,","0.0","C,1030","-2.2","C,1031","-5.0","C,1201","-7.2","C,1203","-11.1","C,1218","0.0","C,0422","-6.1","C,0414","-6.1","C,0414","-6.7","C,0405","-11.1","C,0315","3720.3","","3720.3","C","1006.9",",C","1510",",C","9.37","C","13.59","C","5.14","C"
"CA0061219J1","1976","42.7667","-82.45","186.0","COURTRIGHT, ON CA","298.0","","298.0","C","143","C","77","C","22","C","8","C","139","C","61","C","120","C","5","C","-22.8","C,0202,","249",",C,0201,","50.3",",C,0728,","33.3","C,0908,","-0.6","C,1018","-3.3","C,1027","-6.1","C,1108","-7.2","C,1109","-10.6","C,1129","-0.6","C,0426","-4.4","C,0412","-4.4","C,0412","-7.8","C,0322","-9.4","C,0317","3516.3","","3516.3","C","970.0",",C","1999",",C","8.34","C","12.92","C","3.76","C"
"CA0061219J1","1977","42.7667","-82.45","186.0","COURTRIGHT, ON CA","361.6","","361.6","C","133","C","91","C","17","C","11","C","125","C","72","C","131","C","6","C","-21.7","C,0129,+","320",",C,1208,","37.6",",C,0422,","36.0","C,0720,+","-1.0","C,1014","-4.5","C,1113","-4.5","C,1113","-9.0","C,1126","-9.0","C,1126","0.0","C,0508","-3.9","C,0409","-6.1","C,0408","-7.2","C,0324","-12.2","C,0221","4079.8","","4079.8","C","834.9",",C","1757",",C","8.91","C","13.42","C","4.39","C"
"CA0061219J1","1978","42.7667","-82.45","186.0","COURTRIGHT, ON CA","328.1","","328.1","C","116","C","77","C","15","C","8","C","156","C","78","C","114","C","4","C","-22.0","C,0123,","250",",C,0126,","25.0",",C,0126,","34.0","C,0908,","0.0","C,1008","-2.5","C,1029","-4.5","C,1108","-7.0","C,1127","-10.0","C,1129","-0.5","C,0503","-3.0","C,0501","-6.0","C,0325","-7.0","C,0324","-9.0","C,0313","4146.6","","4146.6","C","648.7",",C","1344",",C","7.73","C","12.66","C","2.79","C"
"CA0061219J1","1979","42.7667","-82.45","186.0","COURTRIGHT, ON CA","243.6","","243.6","C","120","C","74","C","10","C","14","C","141","C","62","C","111","C","1","C","-26.0","C,0217,","100",",C,0116,","37.0",",C,0413,","34.0","C,0807,","0.0","C,1011","-4.0","C,1027","-5.0","C,1112","-8.0","C,1202","-10.0","C,1203","0.0","C,0429","-4.0","C,0410","-7.0","C,0407","-7.0","C,0407","-9.0","C,0327","4060.6","","4060.6","C","734.1",",C","691",",C","7.87","C","12.61","C","3.12","C"
