"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA008101300","1915","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","","","","","","","","","8","C","","","","","","","","","","","","","191",",C,0126,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2135",",C","","","","","",""
"CA008101300","1916","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","","","","","77","C","51","C","23","C","70","C","204","C","","","","","","","-34.4","C,0221,+","610",",C,0219,","61.0",",C,0219,","","","-1.1","C,0911","-2.2","C,1002","-6.1","C,1011","-6.7","C,1112","-10.0","C,1113","-4.4","C,0516","-4.4","C,0516","-4.4","C,0516","-6.7","C,0407","-9.4","C,0406","","","","","885.4",",C","3759",",C","","","","","-3.60","C"
"CA008101300","1919","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","","","","","83","C","64","C","16","C","","","","","","","","","","","","","457",",C,0124,","45.7",",C,0124,","","","","","","","","","","","","","","","","","","","","","","","","","","","680.1",",C","2325",",C","","","","","",""
"CA008101300","1923","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","69.5","","69.5","C","100","C","78","C","28","C","62","C","204","C","107","C","86","C","3","C","-35.6","C,0205,","127",",C,0306,+","55.1",",C,1025,","34.4","C,0619,","0.0","C,0904","-3.3","C,1008","-5.0","C,1022","-7.2","C,1028","-10.6","C,1109","0.0","C,0615","-2.8","C,0531","-4.4","C,0512","-7.8","C,0420","-8.9","C,0419","","","","","718.3",",C","1549",",C","2.45","C","9.09","C","-4.19","C"
"CA008101300","1925","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","","","","","","","","","39","C","","","","","","","","","","","","","203",",C,0130,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3099",",C","","","","","",""
"CA008101300","1926","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","46.0","","46.0","C","","","","","","","46","C","205","C","124","C","77","C","0","C","-30.0","C,0126,","","","","","31.7","C,0801,","-0.6","C,0922","-2.8","C,0927","-6.1","C,1001","-6.7","C,1102","-11.1","C,1113","-0.6","C,0620","-2.2","C,0519","-4.4","C,0422","-10.6","C,0420","-10.6","C,0420","","","","","","","","","2.29","C","7.84","C","-3.25","C"
"CA008101300","1927","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","48.2","","48.2","C","","","","","","","36","C","190","C","99","C","71","C","1","C","-31.1","C,0220,+","","","","","32.8","C,0712,","-0.6","C,0913","-2.2","C,0928","-4.4","C,1016","-7.2","C,1109","-9.4","C,1110","-1.1","C,0602","-3.9","C,0426","-5.6","C,0425","-6.7","C,0413","-9.4","C,0410","5673.3","","5673.3","C","","","","","3.43","C","8.87","C","-2.01","C"
"CA008101300","1930","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","56.3","","56.3","C","93","C","78","C","21","C","43","C","182","C","95","C","79","C","0","C","-32.2","C,0123,","381",",C,0119,","46.7",",C,0804,","30.6","C,0606,","0.0","C,1002","-2.2","C,1007","-5.0","C,1024","-10.6","C,1111","-10.6","C,1111","0.0","C,0520","-2.8","C,0515","-4.4","C,0430","-8.9","C,0428","-8.9","C,0428","5614.9","","5614.9","C","831.2",",C","1929",",C","3.64","C","9.00","C","-1.71","C"
"CA008101300","1931","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","108.1","","108.1","C","","","","","","","31","C","177","C","89","C","79","C","0","C","-32.8","C,0202,","","","","","30.6","C,0701,","-0.6","C,0920","-2.2","C,1020","-6.1","C,1108","-8.3","C,1116","-13.3","C,1128","-2.2","C,0518","-2.2","C,0518","-4.4","C,0417","-7.2","C,0406","-13.3","C,0303","5150.7","","5150.7","C","","","","","4.87","C","9.69","C","0.04","C"
"CA008101300","1932","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","53.1","","53.1","C","","","","","34","C","44","C","191","C","103","C","75","C","0","C","-31.7","C,0202,","254",",C,0329,","","","30.6","C,0517,","0.0","C,0926","-2.2","C,1001","-5.6","C,1101","-9.4","C,1109","-9.4","C,1109","-1.7","C,0524","-2.8","C,0507","-5.0","C,0425","-7.2","C,0424","-10.0","C,0405","5277.0","","5277.0","C","","","2292",",C","3.57","C","8.59","C","-1.46","C"
"CA008101300","1933","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","35.7","","35.7","C","120","C","92","C","53","C","49","C","192","C","107","C","82","C","0","C","-34.4","C,1230,","254",",C,1206,","47.2",",C,0621,","31.1","C,0628,","0.0","C,0915","-3.3","C,1019","-5.6","C,1026","-7.2","C,1105","-9.4","C,1106","0.0","C,0521","-2.2","C,0509","-5.6","C,0424","-8.3","C,0423","-8.9","C,0329","5242.4","","5242.4","C","984.1",",C","4222",",C","2.76","C","8.22","C","-2.70","C"
"CA008101300","1934","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","34.4","","34.4","C","109","C","85","C","36","C","69","C","186","C","107","C","77","C","0","C","-37.8","C,0131,","305",",C,1219,","44.5",",C,0613,","28.3","C,0712,","-2.2","C,1002","-2.2","C,1002","-5.0","C,1005","-6.7","C,1113","-15.0","C,1114","-0.6","C,0608","-2.8","C,0520","-5.6","C,0410","-6.7","C,0409","-11.7","C,0406","6123.0","","6123.0","C","818.3",",C","3070",",C","2.23","C","7.48","C","-3.01","C"
"CA008101300","1935","47.3667","-68.3333","174.0","EDMUNDSTON, NB CA","104.1","","104.1","C","131","C","94","C","42","C","57","C","180","C","116","C","79","C","4","C","-40.6","C,0128,","686",",C,0124,","68.6",",C,0124,","35.6","C,0817,","-1.7","C,0928","-3.3","C,1007","-7.2","C,1109","-7.2","C,1109","-12.2","C,1116","-3.3","C,0505","-3.3","C,0505","-5.0","C,0409","-6.7","C,0408","-11.1","C,0406","5797.3","","5797.3","C","902.2",",C","3834",",C","2.90","C","7.98","C","-2.18","C"
