"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"RQC00660842","1955","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","204","0","138","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","66.0",",0,0807,","1822.7",",0","0",",0"
"RQC00660842","1956","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","222","0","147","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","132.1",",0,0618,","2807.7",",0","0",",0"
"RQC00660842","1957","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","197","0","115","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","57.9",",0,0813,","1342.5",",0","0",",0"
"RQC00660842","1958","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","209","0","151","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","79.5",",0,0606,","2230.1",",0","0",",0"
"RQC00660842","1959","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","220","0","133","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","70.6",",0,0502,","2070.7",",0","0",",0"
"RQC00660842","1960","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","203","0","127","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","60.2",",0,0803,","2069.2",",0","0",",0"
"RQC00660842","1961","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","216","0","129","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","152.4",",0,0426,","2282.8",",0","0",",0"
"RQC00660842","1962","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","198","0","125","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","88.9",",0,0521,","1781.3",",0","0",",0"
"RQC00660842","1963","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","195","0","130","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","89.2",",0,0326,","1881.7",",0","0",",0"
"RQC00660842","1964","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","192","0","122","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","183.9",",0,0829,","1618.3",",0","0",",0"
"RQC00660842","1965","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","229","0","145","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","124.7",",0,1104,","2453.7",",0","0",",0"
"RQC00660842","1967","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","201","0","108","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","43.2",",0,0828,+","1334.7",",0","0",",0"
"RQC00660842","1968","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","204","0","112","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","130.0",",0,0805,","2234.8",",0","0",",0"
"RQC00660842","1969","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","171","0","112","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","101.6",",0,0301,","1727.0",",0","0",",0"
"RQC00660842","1970","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","188","0","123","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","149.9",",0,1210,","2820.8",",0","0",",0"
"RQC00660842","1971","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","195","0","119","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","127.0",",0,0524,","1558.0",",0","0",",0"
"RQC00660842","1972","18.41667","-66.2","45.1","CANDELARIA TOA BAJA, PR US","183","0","126","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","77.0",",0,1209,","1720.4",",0","0",",0"
