"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"RQC00662934","1931","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2363.9","","2363.9","0","209","0","135","0","","","","","0","0","0","0","0","0","363","0","60","0","13.9","0,0217,","","","","","63.5",",0,0502,","36.1","0,0714,","","","","","","","","","","","2368.9",",0","","","24.85","0","29.91","0","19.80","0","",""
"RQC00662934","1932","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2269.5","","2269.5","0","191","0","121","0","","","","","0","0","0","0","0","0","363","0","67","0","12.8","0,0215,+","","","","","100.3",",0,0927,","34.4","0,1022,+","","","0.0","","0.0","0","","","","","1941.5",",0","","","24.56","0","29.79","0","19.33","0","",""
"RQC00662934","1933","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2230.4","","2230.4","0","208","0","148","0","","","","","0","0","0","0","0","0","361","0","42","0","13.3","0,0226,","","","","","135.4",",0,0528,","34.4","0,0825,","","","0.0","","0.0","0","","","","","1905.2",",0","","","24.51","0","29.73","0","19.30","0","",""
"RQC00662934","1934","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2281.2","","2281.2","0","200","0","130","0","","","","","0","0","0","0","0","0","357","0","51","0","10.0","0,0130,","","","","","87.6",",0,1123,","33.9","0,1025,","","","0.0","","0.0","0","","","","","1761.0",",0","","","24.75","0","29.95","0","19.56","0","",""
"RQC00662934","1935","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2199.5","","2199.5","0","184","0","110","0","","","","","0","0","0","0","0","0","356","0","32","0","13.3","0,0126,+","","","","","50.8",",0,1104,+","33.3","0,0821,+","","","0.0","","0.0","0","","","","","1578.0",",0","","","24.52","0","30.09","0","18.94","0","",""
"RQC00662934","1936","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2175.6","","2175.6","0","187","0","126","0","","","","","0","0","0","0","0","0","355","0","49","0","13.9","0,1202,+","","","","","73.7",",0,1227,","33.9","0,0607,","","","0.0","","0.0","0","","","","","1955.2",",0","","","24.47","0","30.26","0","18.69","0","",""
"RQC00662934","1937","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2160.4","","2160.4","0","188","0","125","0","","","","","0","0","0","0","0","0","356","0","50","0","12.8","0,0306,","","","","","73.7",",0,0911,","34.4","0,0929,+","","","0.0","","0.0","0","","","","","1831.4",",0","","","24.39","0","29.70","0","19.08","0","",""
"RQC00662934","1938","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","0.0","0","","","","","2213.0",",0","","","","","","","","","",""
"RQC00662934","1940","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2320.9","","2320.9","0","140","0","107","0","","","","","0","0","0","0","0","0","364","0","56","0","15.6","0,1222,+","","","","","86.9",",0,0520,","34.4","0,0914,","","","","","","","","","","","1592.9",",0","","","24.74","0","29.91","0","19.57","0","",""
"RQC00662934","1941","18.3266","-66.3591","198.1","COROZAL SUBSTATION, PR US","2365.6","","2365.6","0","147","0","113","0","","","","","0","0","0","0","0","0","364","0","67","0","14.4","0,0108,","","","","","96.5",",0,0507,","34.4","0,0519,+","","","0.0","","0.0","0","","","","","1882.2",",0","","","24.82","0","30.46","0","19.18","0","",""
