"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RQC00664613","1931","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2884.2","","2884.2","0","233","0","176","0","","","","","0","0","0","0","0","0","365","0","78","0","15.0","0,0219,","","","","","61.0",",0,0903,","33.9","0,1021,","","","","","2657.1",",0","","","26.22","0","30.62","0","21.82","0"
"RQC00664613","1932","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","","","","","238","0","170","0","","","","","","","","","","","","","","","","","","","","","57.4",",0,0623,","","","","","","","2347.4",",0","","","","","","","",""
"RQC00664613","1933","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","","","","","247","0","163","0","","","","","","","","","0","0","365","0","42","0","","","","","","","124.5",",0,0502,","34.4","0,1007,","","","","","2294.7",",0","","","","","30.50","0","",""
"RQC00664613","1934","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2522.9","","2522.9","0","242","0","156","0","","","","","0","0","0","0","0","0","362","0","59","0","15.0","0,0130,","","","","","58.4",",0,0705,","34.4","0,0821,","0.0","","0.0","0","1982.4",",0","","","25.29","0","30.37","0","20.21","0"
"RQC00664613","1935","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2425.1","","2425.1","0","212","0","144","0","","","","","0","0","0","0","0","0","355","0","17","0","13.9","0,0120,","","","","","64.5",",0,1211,","33.3","0,0818,","0.0","","0.0","0","1998.4",",0","","","25.21","0","29.19","0","21.23","0"
"RQC00664613","1936","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2591.8","","2591.8","0","221","0","158","0","","","","","0","0","0","0","0","0","366","0","39","0","15.0","0,0307,+","","","","","205.7",",0,0521,","34.4","0,0913,+","0.0","","0.0","0","3077.8",",0","","","25.41","0","29.96","0","20.86","0"
"RQC00664613","1937","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2641.1","","2641.1","0","219","0","141","0","","","","","0","0","0","0","0","0","365","0","72","0","15.0","0,1204,","","","","","124.5",",0,1126,","34.4","0,0915,","0.0","","0.0","0","2022.4",",0","","","25.56","0","30.52","0","20.60","0"
"RQC00664613","1939","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2201.0","","2201.0","0","247","0","145","0","","","","","0","0","0","0","0","0","362","0","34","0","12.2","0,0214,","","","","","57.9",",0,0831,","35.0","0,1001,+","","","","","1751.6",",0","","","24.43","0","29.65","0","19.21","0"
"RQC00664613","1940","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","","","","","193","0","146","0","","","","","0","0","0","0","","","","","","","13.3","0,0318,","","","","","129.0",",0,0519,","","","","","","","2061.8",",0","","","","","","","20.98","0"
"RQC00664613","1941","18.13333","-65.81667","39.9","HUMACAO 2 SSE, PR US","2633.6","","2633.6","0","229","0","155","0","","","","","0","0","0","0","0","0","361","0","28","0","14.4","0,0416,","","","","","89.2",",0,0927,","35.0","0,0408,","0.0","","0.0","0","2335.7",",0","","","25.63","0","30.18","0","21.09","0"
