"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"RQW00011630","1948","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2945.9","","2945.9","6","232","6","123","6","","","0","X","0","6","0","6","0","6","365","6","7","6","18.9","6,1231,","","","0",",X,1231,+","75.4",",6,0903,","32.2","6,0914,+","0.0","","0.0","6","1584.6",",6","0",",X","26.42","6","29.10","6","23.74","6","","","",""
"RQW00011630","1949","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2782.8","","2782.8","6","257","6","140","6","0","","0","X","0","6","0","6","0","6","365","6","0","6","17.2","6,1214,+","0",",X,1231,+","0",",X,1231,+","126.7",",6,0903,","31.7","6,0914,+","0.0","","0.0","6","1698.8",",6","0",",X","25.95","6","29.00","6","22.89","6","113","X","26.7","X"
"RQW00011630","1958","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3178.2","","3178.2","X","197","X","126","X","0","","0","X","0","X","0","X","0","X","365","X","17","X","17.8","X,0127,","0",",X,1231,+","0",",X,1231,+","111.0",",X,0504,","32.8","X,0907,+","0.0","","0.0","X","1745.6",",X","0",",X","27.03","X","29.96","X","24.09","X","","","",""
"RQW00011630","1959","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3136.8","","3136.8","0","212","0","120","0","0","","0","0","0","0","0","0","0","0","365","0","12","0","20.0","0,0106,","0",",0,1231,+","0",",0,1231,+","115.6",",0,0502,","33.3","0,1104,","0.0","","0.0","0","1409.5",",0","0",",0","26.92","0","29.66","0","24.18","0","135","X","20.0","X"
"RQW00011630","1960","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3125.5","","3125.5","0","214","0","132","0","0","","0","0","0","0","0","0","0","0","366","0","22","0","17.8","0,1207,","0",",0,1231,+","0",",0,1231,+","187.7",",0,0906,","33.3","0,0911,+","0.0","","0.0","0","2121.0",",0","0",",0","26.92","0","29.94","0","23.89","0","225","X","39.1","X"
"RQW00011630","1961","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3033.8","","3033.8","0","225","0","105","0","0","","0","0","0","0","0","0","0","0","365","0","1","0","18.3","0,0330,","0",",0,1231,+","0",",0,1231,+","101.6",",0,1015,","32.2","0,0813,","0.0","","0.0","0","1450.8",",0","0",",0","26.64","0","29.69","0","23.58","0","68","X","18.0","X"
"RQW00011630","1962","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3005.5","","3005.5","0","197","0","110","0","0","","0","0","0","0","0","0","0","0","365","0","19","0","17.8","0,0311,","0",",0,1231,+","0",",0,1231,+","89.4",",0,1014,","33.3","0,0727,","0.0","","0.0","0","1479.0",",0","0",",0","26.55","0","29.48","0","23.62","0","158","X","17.5","X"
"RQW00011630","1963","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3070.2","","3070.2","0","205","0","100","0","0","","0","0","0","0","0","0","0","0","365","0","36","0","18.9","0,1125,","0",",0,1231,+","0",",0,1231,+","75.9",",0,0408,","33.3","0,1012,","0.0","","0.0","0","1107.7",",0","0",",0","26.74","0","29.90","0","23.58","0","113","X","15.4","X"
"RQW00011630","1964","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","","","","","208","0","97","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","43.2",",0,0712,","","","","","","","890.6",",0","0",",0","","","","","","","45","X","16.4","X"
"RQW00011630","1965","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3045.5","","3045.5","0","214","0","118","0","0","","0","0","0","0","0","0","0","0","365","0","10","0","16.7","0,0111,","0",",0,1231,+","0",",0,1231,+","70.1",",0,1210,","32.8","0,1016,+","0.0","","0.0","0","1480.9",",0","0",",0","26.67","0","30.16","0","23.18","0","113","X","18.0","X"
"RQW00011630","1966","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3072.6","","3072.6","0","198","0","99","0","0","","0","0","0","0","0","0","0","0","365","0","18","0","16.7","0,0205,","0",",0,1231,+","0",",0,1231,+","139.2",",0,1110,","32.8","0,1201,+","0.0","","0.0","0","1313.6",",0","0",",0","26.74","0","29.96","0","23.51","0","23","X","16.4","X"
"RQW00011630","1967","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2867.9","","2867.9","0","185","0","94","0","0","","0","0","0","0","0","0","0","0","365","0","13","0","18.3","0,0323,+","0",",0,1231,+","0",",0,1231,+","69.6",",0,0606,","32.2","0,1024,+","0.0","","0.0","0","975.1",",0","0",",0","26.19","0","29.40","0","22.98","0","23","X","14.4","X"
"RQW00011630","1968","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3145.8","","3145.8","0","191","0","102","0","0","","0","0","0","0","0","0","0","0","366","0","45","0","17.8","0,0423,+","0",",0,1231,+","0",",0,1231,+","39.1",",0,0807,","33.9","0,0830,","0.0","","0.0","0","1003.2",",0","0",",0","26.92","0","30.26","0","23.58","0","135","X","14.4","X"
"RQW00011630","1969","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3242.3","","3242.3","X","191","X","126","X","0","","0","X","0","X","0","X","0","X","365","X","62","X","18.3","X,0227,+","0",",X,1231,+","0",",X,1231,+","119.9",",X,1122,","35.0","X,0705,+","0.0","","0.0","X","2114.1",",X","0",",X","27.20","X","30.51","X","23.90","X","","","",""
"RQW00011630","1970","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3128.3","","3128.3","0","207","0","116","0","0","","0","0","0","0","0","0","0","0","365","0","44","0","16.7","0,0207,","0",",0,1231,+","0",",0,1231,+","188.2",",0,1007,","33.9","0,0818,","0.0","","0.0","0","2421.0",",0","0",",0","26.89","0","29.89","0","23.90","0","","","",""
