"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10adam004","2006","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","84","N","46","N","1","","1","N","102",",N,0320,","165",",N,0320,","49.5",",N,0617,","648.6",",N","168",",N"
"US10adam004","2007","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","81","N","55","N","","","6","N","","","152",",N,0121,","50.8",",N,0505,","802.6",",N","405",",N"
"US10adam004","2008","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","91","N","60","N","","","5","N","","","64",",N,1219,","62.7",",N,0716,","867.7",",N","265",",N"
"US10adam004","2009","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","94","N","45","N","","","4","N","","","160",",N,1209,","66.0",",N,0616,","542.5",",N","463",",N"
"US10adam004","2010","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","89","N","56","N","","","1","N","","","64",",N,1231,","79.0",",N,0824,","805.6",",N","84",",N"
"US10adam004","2011","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","82","N","56","N","","","2","N","","","254",",N,0110,","64.5",",N,0725,","783.2",",N","411",",N"
"US10adam004","2012","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","47","N","32","N","","","0","N","","","0",",N,1231,+","80.3",",N,0615,","579.8",",N","0",",N"
"US10adam004","2013","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","75","N","44","N","","","1","N","","","127",",N,1208,","87.6",",N,1003,","722.3",",N","127",",N"
"US10adam004","2014","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","72","N","45","N","","","3","N","","","64",",N,1227,+","71.9",",N,0512,","723.6",",N","156",",N"
"US10adam004","2017","40.4798","-98.4026","570.0","AYR 3.5 NE, NE US","62","N","40","N","","","","","","","","","58.4",",N,1003,","584.9",",N","",""
