"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10furn014","2005","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","68","N","43","N","34.3",",N,0321,","519.3",",N"
"US10furn014","2006","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","84","N","49","N","76.2",",N,0819,","719.6",",N"
"US10furn014","2007","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","86","N","51","N","52.3",",N,0424,","615.6",",N"
"US10furn014","2008","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","90","N","53","N","107.2",",N,0524,","800.4",",N"
"US10furn014","2009","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","90","N","51","N","44.2",",N,1022,","691.0",",N"
"US10furn014","2010","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","75","N","49","N","48.3",",N,0804,","656.0",",N"
"US10furn014","2011","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","81","N","46","N","117.3",",N,1008,","735.9",",N"
"US10furn014","2012","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","40","N","25","N","51.6",",N,0709,","258.8",",N"
"US10furn014","2013","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","72","N","36","N","41.9",",N,0928,","405.7",",N"
"US10furn014","2014","40.133","-99.8238","665.1","BEAVER CITY 0.4 SE, NE US","82","N","49","N","54.1",",N,0622,","647.9",",N"
