"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10jeff002","2006","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","85","N","47","N","0","","0","N","0",",N,1231,+","0",",N,1231,+","55.1",",N,0721,","663.2",",N","0",",N"
"US10jeff002","2007","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","92","N","55","N","","","0","N","","","0","T,N,0821,","76.2",",N,0515,","1006.0",",N","0","T,N"
"US10jeff002","2008","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","97","N","61","N","","","1","N","","","76",",N,1217,","140.2",",N,0718,","1027.4",",N","76",",N"
"US10jeff002","2009","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","107","N","60","N","","","0","N","","","0",",N,1231,+","39.4",",N,0501,","703.2",",N","0",",N"
"US10jeff002","2010","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","100","N","46","N","","","0","N","","","0",",N,1231,+","66.0",",N,0620,","820.6",",N","0",",N"
"US10jeff002","2011","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","101","N","52","N","","","0","N","","","0","T,N,1013,","63.0",",N,0725,","806.8",",N","0","T,N"
"US10jeff002","2012","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","63","N","36","N","","","0","N","","","0",",N,1231,+","61.0",",N,0615,","552.4",",N","0",",N"
"US10jeff002","2013","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","88","N","54","N","","","0","N","","","0",",N,1231,+","69.1",",N,0528,","913.6",",N","0",",N"
"US10jeff002","2014","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","83","N","44","N","","","0","N","","","0",",N,1231,+","55.9",",N,0607,","630.1",",N","0",",N"
"US10jeff002","2015","40.082","-97.3306","451.1","FAIRBURY 8.7 WSW, NE US","100","N","51","N","","","0","N","","","10",",N,1127,","57.4",",N,0605,","820.4",",N","10",",N"
