"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10nuck002","2005","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","74","N","46","N","84.1",",N,0726,","657.3",",N"
"US10nuck002","2006","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","69","N","46","N","56.6",",N,0910,","628.7",",N"
"US10nuck002","2007","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","76","N","57","N","43.2",",N,0823,","797.7",",N"
"US10nuck002","2008","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","83","N","57","N","59.7",",N,1022,","860.2",",N"
"US10nuck002","2009","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","78","N","49","N","34.3",",N,1022,","466.5",",N"
"US10nuck002","2010","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","76","N","57","N","67.3",",N,0614,","823.8",",N"
"US10nuck002","2011","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","70","N","52","N","53.3",",N,0520,","690.7",",N"
"US10nuck002","2012","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","48","N","37","N","49.3",",N,0615,+","608.4",",N"
"US10nuck002","2013","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","67","N","52","N","82.8",",N,1003,","721.4",",N"
"US10nuck002","2014","40.1828","-97.9717","524.0","NORA 1.5 N, NE US","66","N","44","N","58.4",",N,0607,","666.8",",N"
