"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10perk017","2006","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","60","N","36","N","6","","8","N","216",",N,0321,","216",",N,1230,","63.5",",N,0808,","604.4",",N","915",",N"
"US10perk017","2007","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","83","N","50","N","","","","","","","","","84.8",",N,0613,","737.2",",N","",""
"US10perk017","2008","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","85","N","48","N","","","","","","","","","46.2",",N,0606,","674.8",",N","",""
"US10perk017","2009","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","122","N","57","N","","","","","","","","","34.0",",N,0602,","669.4",",N","",""
"US10perk017","2010","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","88","N","51","N","","","","","","","","","63.8",",N,0527,","827.8",",N","",""
"US10perk017","2011","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","103","N","50","N","","","10","N","","","318",",N,0415,","45.2",",N,0415,","719.2",",N","1096",",N"
"US10perk017","2012","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","52","N","31","N","","","9","N","","","267",",N,0204,","51.1",",N,0708,","341.2",",N","720",",N"
"US10perk017","2013","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","75","N","42","N","","","14","N","","","114",",N,0222,","44.7",",N,0520,","474.1",",N","983",",N"
"US10perk017","2014","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","70","N","41","N","","","12","N","","","206",",N,0223,","151.6",",N,0828,","638.6",",N","1051",",N"
"US10perk017","2015","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","92","N","51","N","","","10","N","","","165",",N,1112,","56.4",",N,0805,","662.6",",N","783",",N"
"US10perk017","2016","40.8","-101.3229","999.1","WALLACE 8.7 WSW, NE US","75","N","37","N","","","","","","","","","70.1",",N,0525,","582.7",",N","",""
