"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US10sewa006","2005","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","58","N","37","N","54.6",",N,1020,","545.2",",N"
"US10sewa006","2006","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","64","N","44","N","69.3",",N,0808,","810.6",",N"
"US10sewa006","2007","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","75","N","51","N","78.2",",N,0425,","883.5",",N"
"US10sewa006","2008","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","82","N","52","N","72.9",",N,1022,","914.5",",N"
"US10sewa006","2009","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","85","N","49","N","64.3",",N,0827,","650.1",",N"
"US10sewa006","2010","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","76","N","50","N","68.3",",N,0621,","674.7",",N"
"US10sewa006","2011","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","70","N","45","N","76.7",",N,0520,","730.5",",N"
"US10sewa006","2012","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","50","N","29","N","106.4",",N,0615,","533.8",",N"
"US10sewa006","2013","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","63","N","45","N","49.5",",N,0527,","667.0",",N"
"US10sewa006","2014","40.9596","-97.0415","463.0","SEWARD 4.7 NE, NE US","72","N","53","N","89.7",",N,0512,","949.9",",N"
