"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US10shem003","2005","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","95","N","50","N","37","","8","N","178",",N,1209,+","130",",N,1128,","53.8",",N,0603,","579.2",",N","582",",N"
"US10shem003","2006","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","86","N","43","N","9","","4","N","495",",N,0321,","284",",N,0321,","61.0",",N,0910,","743.5",",N","629",",N"
"US10shem003","2007","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","107","N","60","N","","","11","N","","","193",",N,0121,","71.6",",N,0823,","844.4",",N","849",",N"
"US10shem003","2008","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","107","N","63","N","","","7","N","","","175",",N,1219,","76.7",",N,0524,","909.2",",N","577",",N"
"US10shem003","2009","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","113","N","57","N","","","12","N","","","216",",N,1010,","50.8",",N,0606,","768.2",",N","1154",",N"
"US10shem003","2010","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","86","N","51","N","","","5","N","","","66",",N,1231,","47.0",",N,0612,","725.4",",N","306",",N"
"US10shem003","2011","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","102","N","56","N","","","13","N","","","241",",N,0120,","87.6",",N,1008,","716.0",",N","1414",",N"
"US10shem003","2012","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","46","N","23","N","","","5","N","","","191",",N,0204,","40.4",",N,0428,","280.7",",N","461",",N"
"US10shem003","2013","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","103","N","52","N","","","6","N","","","198",",N,0222,","91.7",",N,0409,","761.9",",N","521",",N"
"US10shem003","2014","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","92","N","53","N","","","11","N","","","165",",N,0414,","54.1",",N,0615,","683.0",",N","776",",N"
"US10shem003","2016","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","88","N","43","N","","","","","","","","","102.9",",N,0417,","686.4",",N","",""
"US10shem003","2017","41.1426","-98.8593","613.0","ROCKVILLE 2.2 NW, NE US","84","N","44","N","","","","","","","","","81.3",",N,0816,","718.5",",N","",""
