"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1ALMR0001","2008","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","113","N","80","N","104.1",",N,1210,","1483.5",",N"
"US1ALMR0001","2009","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","135","N","96","N","94.0",",N,1209,","1834.5",",N"
"US1ALMR0001","2010","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","110","N","70","N","84.1",",N,0815,","1426.2",",N"
"US1ALMR0001","2011","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","112","N","74","N","93.2",",N,0906,","1473.7",",N"
"US1ALMR0001","2012","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","134","N","84","N","182.9",",N,0918,","1744.0",",N"
"US1ALMR0001","2013","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","141","N","86","N","58.9",",N,0921,","1507.5",",N"
"US1ALMR0001","2014","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","151","N","82","N","85.1",",N,1117,","1565.5",",N"
"US1ALMR0001","2015","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","147","N","96","N","93.0",",N,0704,","1647.9",",N"
"US1ALMR0001","2016","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","118","N","62","N","97.0",",N,1130,","1113.0",",N"
"US1ALMR0001","2017","33.9793","-87.9214","171.0","GUIN 1.1 NW, AL US","137","N","85","N","95.3",",N,0513,","1436.7",",N"
