"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COBO0202","2006","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","136","N","60","N","160","","35","N","864",",N,1229,","749",",N,1221,","63.0",",N,1221,","619.7",",N","4946",",N"
"US1COBO0202","2007","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","154","N","61","N","162","","46","N","813",",N,0122,+","239",",N,1226,","25.1",",N,0324,","550.0",",N","4452",",N"
"US1COBO0202","2008","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","140","N","52","N","149","","38","N","559",",N,0215,+","226",",N,0417,","39.6",",N,0817,","540.1",",N","3134",",N"
"US1COBO0202","2009","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","154","N","65","N","174","","44","N","699",",N,0418,","683",",N,0418,","74.7",",N,0418,","632.7",",N","5262",",N"
"US1COBO0202","2010","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","134","N","63","N","182","","43","N","902",",N,0324,","526",",N,0324,","39.6",",N,0324,","634.7",",N","5001",",N"
"US1COBO0202","2011","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","144","N","60","N","179","","43","N","660",",N,1222,","572",",N,1222,","41.7",",N,0519,","663.9",",N","5486",",N"
"US1COBO0202","2012","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","114","N","46","N","122","","24","N","1092",",N,0204,","673",",N,0203,","39.6",",N,0707,","503.5",",N","3226",",N"
"US1COBO0202","2013","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","153","N","73","N","182","","41","N","610",",N,0423,","424",",N,0423,","115.3",",N,0912,","984.8",",N","5193",",N"
"US1COBO0202","2014","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","152","N","70","N","163","","41","N","559",",N,0403,+","386",",N,0512,","29.0",",N,0512,","654.3",",N","4444",",N"
"US1COBO0202","2015","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","149","N","83","N","167","","44","N","660",",N,0226,","485",",N,0417,","61.0",",N,0417,","804.7",",N","4993",",N"
"US1COBO0202","2016","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","130","N","63","N","159","","36","N","838",",N,0417,","665",",N,0417,","48.3",",N,0323,","577.2",",N","5084",",N"
"US1COBO0202","2017","40.1103","-105.4391","2609.1","WARD 4.6 NE, CO US","139","N","66","N","144","","41","N","686",",N,0519,","706",",N,0519,","63.2",",N,0519,","740.6",",N","5280",",N"
