"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLA0033","2005","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","87","N","53","N","24","N","432",",N,0130,","42.7",",N,1011,","703.8",",N","3532",",N"
"US1COLA0033","2006","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","83","N","54","N","23","N","546",",N,1221,","69.9",",N,1221,","629.2",",N","3381",",N"
"US1COLA0033","2007","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","109","N","52","N","15","N","221",",N,1022,","25.7",",N,0729,","474.0",",N","1655",",N"
"US1COLA0033","2008","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","98","N","46","N","21","N","371",",N,1209,","26.2",",N,0816,","437.5",",N","2255",",N"
"US1COLA0033","2010","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","82","N","48","N","","","","","22.6",",N,0731,+","467.5",",N","",""
"US1COLA0033","2011","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","86","N","49","N","","","","","33.3",",N,0830,","482.2",",N","",""
"US1COLA0033","2012","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","62","N","28","N","","","","","38.4",",N,0403,","281.7",",N","",""
"US1COLA0033","2013","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","89","N","47","N","","","","","84.6",",N,0715,","507.3",",N","",""
"US1COLA0033","2014","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","98","N","50","N","","","","","25.1",",N,0308,","457.4",",N","",""
"US1COLA0033","2015","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","110","N","60","N","","","","","57.2",",N,0519,","649.5",",N","",""
"US1COLA0033","2016","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","88","N","57","N","","","","","31.2",",N,0705,","499.4",",N","",""
"US1COLA0033","2017","37.3593","-104.7734","2200.0","AGUILAR 7.2 WSW, CO US","97","N","58","N","","","","","38.1",",N,0324,","730.1",",N","",""
