"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COLR0240","2003","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","117","N","42","N","63","","20","N","711",",N,0320,","490",",N,0319,","48.3",",N,0319,","493.1",",N","2590",",N"
"US1COLR0240","2004","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","134","N","66","N","64","","23","N","229",",N,1130,+","292",",N,0305,","26.2",",N,0819,","654.9",",N","2658",",N"
"US1COLR0240","2008","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","115","N","39","N","","","28","N","","","236",",N,0331,","31.0",",N,0605,","382.4",",N","1977",",N"
"US1COLR0240","2009","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","135","N","54","N","","","","","","","","","48.3",",N,0417,","476.5",",N","",""
"US1COLR0240","2010","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","111","N","47","N","","","","","","","","","40.1",",N,0429,","526.6",",N","",""
"US1COLR0240","2011","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","114","N","44","N","","","","","","","","","43.4",",N,0519,","462.8",",N","",""
"US1COLR0240","2012","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","92","N","35","N","","","","","","","","","39.1",",N,0708,","316.9",",N","",""
"US1COLR0240","2013","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","127","N","58","N","64","","","","432",",N,0416,","","","100.3",",N,0913,","684.2",",N","",""
"US1COLR0240","2014","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","123","N","56","N","70","","","","241",",N,0512,","","","29.2",",N,0713,","470.9",",N","",""
"US1COLR0240","2015","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","134","N","66","N","79","","35","N","368",",N,0417,","363",",N,0417,","46.0",",N,0417,","547.3",",N","2865",",N"
"US1COLR0240","2016","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","110","N","38","N","48","","15","N","267",",N,0203,","211",",N,0318,","20.1",",N,0508,","323.1",",N","1749",",N"
"US1COLR0240","2017","40.4018","-105.4878","2368.9","ESTES PARK 2.2 NE, CO US","133","N","64","N","75","","27","N","559",",N,0519,","737",",N,0519,","43.4",",N,0519,","598.4",",N","3157",",N"
