"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COWE0025","2006","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","43","N","25","N","9","N","406",",N,1221,","44.5",",N,1221,","241.9",",N","1044",",N"
"US1COWE0025","2007","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","64","N","34","N","12","N","114",",N,1209,","52.6",",N,0803,","344.3",",N","775",",N"
"US1COWE0025","2008","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","66","N","29","N","12","N","89",",N,1214,","71.4",",N,0807,","419.6",",N","668",",N"
"US1COWE0025","2010","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","69","N","33","N","","","","","39.1",",N,0423,","367.2",",N","",""
"US1COWE0025","2011","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","75","N","37","N","","","","","43.4",",N,0519,","379.3",",N","",""
"US1COWE0025","2012","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","44","N","22","N","","","","","28.7",",N,0927,","219.4",",N","",""
"US1COWE0025","2013","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","80","N","46","N","","","","","43.9",",N,0916,","435.8",",N","",""
"US1COWE0025","2015","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","80","N","43","N","","","","","36.6",",N,0417,","460.5",",N","",""
"US1COWE0025","2016","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","56","N","35","N","","","","","22.1",",N,0417,","306.2",",N","",""
"US1COWE0025","2017","40.4108","-104.7914","1463.0","GREELEY 4.4 W, CO US","47","N","31","N","","","","","56.6",",N,0519,","409.8",",N","",""
