"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1COWE0203","2003","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","78","N","24","N","22","","14","N","432",",N,0319,","356",",N,0319,","50.8",",N,0319,","328.4",",N","1173",",N"
"US1COWE0203","2004","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","99","N","41","N","29","","12","N","140",",N,1129,","102",",N,1129,+","31.2",",N,0724,","383.3",",N","776",",N"
"US1COWE0203","2005","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","79","N","30","N","","","10","N","","","241",",N,0411,","31.5",",N,0411,","316.5",",N","652",",N"
"US1COWE0203","2006","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","72","N","26","N","","","11","N","","","610",",N,1221,","41.9",",N,1221,","275.8",",N","1432",",N"
"US1COWE0203","2007","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","80","N","28","N","","","16","N","","","178",",N,1228,","34.8",",N,0728,","326.6",",N","1188",",N"
"US1COWE0203","2008","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","69","N","22","N","","","11","N","","","99",",N,1214,","52.3",",N,0816,","265.1",",N","713",",N"
"US1COWE0203","2009","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","90","N","37","N","","","","","","","","","48.5",",N,0418,","389.9",",N","",""
"US1COWE0203","2010","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","86","N","35","N","","","","","","","","","37.6",",N,0324,","363.0",",N","",""
"US1COWE0203","2011","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","84","N","34","N","","","","","","","","","35.6",",N,0519,","413.0",",N","",""
"US1COWE0203","2012","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","59","N","22","N","","","","","","","","","23.9",",N,0708,","245.7",",N","",""
"US1COWE0203","2013","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","99","N","38","N","","","","","","","","","121.9",",N,0912,","555.1",",N","",""
"US1COWE0203","2014","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","96","N","46","N","","","","","","","","","20.1",",N,0512,","371.1",",N","",""
"US1COWE0203","2015","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","104","N","45","N","","","","","","","","","49.0",",N,0509,","504.5",",N","",""
"US1COWE0203","2016","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","75","N","37","N","","","","","","","","","26.4",",N,0324,","314.8",",N","",""
"US1COWE0203","2017","40.12","-104.96","1513.0","LONGMONT 8.2 ESE, CO US","82","N","37","N","","","","","","","","","59.7",",N,0519,","357.3",",N","",""
