"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IACN0002","2008","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","139","N","85","N","21","N","157",",N,0204,","54.4",",N,1008,","1017.6",",N","1549",",N"
"US1IACN0002","2009","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","126","N","80","N","","","","","69.1",",N,0820,","1344.6",",N","",""
"US1IACN0002","2010","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","114","N","80","N","","","","","77.5",",N,0814,","1155.3",",N","",""
"US1IACN0002","2011","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","106","N","65","N","","","","","82.6",",N,0723,","917.3",",N","",""
"US1IACN0002","2012","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","89","N","59","N","","","","","62.2",",N,0805,","688.4",",N","",""
"US1IACN0002","2013","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","111","N","70","N","","","","","127.3",",N,0418,","985.0",",N","",""
"US1IACN0002","2014","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","109","N","63","N","","","","","74.9",",N,0910,","1009.6",",N","",""
"US1IACN0002","2015","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","102","N","63","N","","","","","72.9",",N,0612,","1173.2",",N","",""
"US1IACN0002","2016","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","106","N","67","N","","","","","105.9",",N,0908,","1191.6",",N","",""
"US1IACN0002","2017","41.8436","-90.7275","218.8","CALAMUS 2.0 NE, IA US","113","N","69","N","","","","","98.3",",N,0722,","1020.3",",N","",""
