"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IAHY0001","2008","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","141","N","80","N","13","N","102",",N,0101,","109.7",",N,0913,","1248.3",",N","830",",N"
"US1IAHY0001","2009","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","147","N","84","N","","","","","146.3",",N,0828,","1414.8",",N","",""
"US1IAHY0001","2010","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","132","N","85","N","","","","","73.2",",N,0513,","1394.2",",N","",""
"US1IAHY0001","2011","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","128","N","61","N","","","","","51.8",",N,0220,","1004.3",",N","",""
"US1IAHY0001","2012","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","111","N","58","N","","","","","53.8",",N,0617,","838.1",",N","",""
"US1IAHY0001","2013","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","118","N","65","N","","","","","82.8",",N,0418,","994.1",",N","",""
"US1IAHY0001","2014","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","117","N","65","N","","","","","80.8",",N,0910,","944.7",",N","",""
"US1IAHY0001","2015","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","132","N","73","N","","","","","51.3",",N,0712,","1062.5",",N","",""
"US1IAHY0001","2016","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","114","N","62","N","","","","","55.6",",N,0805,","778.6",",N","",""
"US1IAHY0001","2017","40.9142","-91.4293","224.9","NEW LONDON 1.5 SW, IA US","111","N","56","N","","","","","97.5",",N,0921,","755.4",",N","",""
