"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1IAWB0005","2008","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","111","N","62","N","22","N","191",",N,1219,","123.4",",N,0608,","971.0",",N","1408",",N"
"US1IAWB0005","2009","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","116","N","73","N","","","","","42.7",",N,1023,","899.3",",N","",""
"US1IAWB0005","2010","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","112","N","78","N","","","","","152.7",",N,0722,","1405.1",",N","",""
"US1IAWB0005","2011","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","103","N","51","N","","","","","61.5",",N,0627,","692.2",",N","",""
"US1IAWB0005","2012","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","90","N","50","N","","","","","53.3",",N,0415,","677.3",",N","",""
"US1IAWB0005","2013","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","106","N","64","N","","","","","95.0",",N,0502,","972.0",",N","",""
"US1IAWB0005","2014","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","128","N","62","N","","","","","97.0",",N,0617,","1012.0",",N","",""
"US1IAWB0005","2015","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","118","N","71","N","","","","","65.8",",N,0829,","1022.3",",N","",""
"US1IAWB0005","2016","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","101","N","55","N","","","","","69.6",",N,0916,","980.4",",N","",""
"US1IAWB0005","2017","42.6426","-94.1879","338.0","BADGER 3.1 NW, IA US","95","N","67","N","","","","","65.0",",N,1007,","782.8",",N","",""
