"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILSC0009","2008","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","127","N","78","N","3","N","152",",N,0201,","82.0",",N,0319,","1367.5",",N","271",",N"
"US1ILSC0009","2009","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","123","N","78","N","","","","","65.3",",N,1023,","1504.6",",N","",""
"US1ILSC0009","2010","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","109","N","73","N","","","","","80.5",",N,0814,","1102.3",",N","",""
"US1ILSC0009","2011","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","126","N","86","N","","","","","104.1",",N,0626,","1379.8",",N","",""
"US1ILSC0009","2012","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","99","N","69","N","","","","","56.9",",N,0429,","928.0",",N","",""
"US1ILSC0009","2013","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","119","N","69","N","","","","","86.4",",N,0419,","1176.6",",N","",""
"US1ILSC0009","2014","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","118","N","70","N","","","","","103.1",",N,0808,","1078.1",",N","",""
"US1ILSC0009","2015","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","128","N","89","N","","","","","65.0",",N,1227,","1532.5",",N","",""
"US1ILSC0009","2016","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","122","N","75","N","","","","","96.0",",N,0815,","1069.7",",N","",""
"US1ILSC0009","2017","38.5524","-90.0805","168.9","BELLEVILLE 4.5 WNW, IL US","106","N","63","N","","","","","79.0",",N,0430,","935.7",",N","",""
