"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ILVR0004","2007","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","112","N","75","N","9","N","157",",N,0214,","74.7",",N,0821,","936.7",",N","679",",N"
"US1ILVR0004","2008","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","132","N","85","N","","","","","62.5",",N,0604,","1277.9",",N","",""
"US1ILVR0004","2009","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","138","N","75","N","","","","","53.1",",N,1009,","1096.1",",N","",""
"US1ILVR0004","2011","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","145","N","93","N","","","","","43.9",",N,0526,","1053.1",",N","",""
"US1ILVR0004","2012","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","110","N","65","N","","","","","71.4",",N,0827,","887.7",",N","",""
"US1ILVR0004","2013","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","126","N","69","N","","","","","66.5",",N,0411,","941.6",",N","",""
"US1ILVR0004","2014","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","142","N","81","N","","","","","44.2",",N,0701,","1038.6",",N","",""
"US1ILVR0004","2015","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","124","N","79","N","","","","","102.1",",N,0608,","1307.6",",N","",""
"US1ILVR0004","2016","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","124","N","82","N","","","","","93.2",",N,0910,","1140.2",",N","",""
"US1ILVR0004","2017","40.2647","-87.6656","207.9","HENNING 3.4 SSE, IL US","135","N","75","N","","","","","49.3",",N,1119,","1147.0",",N","",""
