"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INPT0003","2007","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","147","N","76","N","13","N","254",",N,0214,","74.7",",N,0726,","1157.4",",N","1072",",N"
"US1INPT0003","2008","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","166","N","81","N","24","N","254",",N,1118,","153.2",",N,0805,","1316.1",",N","1741",",N"
"US1INPT0003","2009","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","153","N","81","N","","","","","67.8",",N,1030,","1119.9",",N","",""
"US1INPT0003","2010","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","149","N","79","N","","","","","58.4",",N,0725,","976.4",",N","",""
"US1INPT0003","2011","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","168","N","96","N","","","","","72.4",",N,0526,","1284.6",",N","",""
"US1INPT0003","2012","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","133","N","73","N","","","","","43.7",",N,0507,","833.1",",N","",""
"US1INPT0003","2013","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","143","N","74","N","","","","","77.7",",N,0919,","1042.0",",N","",""
"US1INPT0003","2014","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","164","N","94","N","","","","","99.3",",N,0822,","1321.5",",N","",""
"US1INPT0003","2016","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","110","N","75","N","","","","","89.7",",N,0816,","986.5",",N","",""
"US1INPT0003","2017","41.4674","-87.0875","220.1","VALPARAISO 2.0 WSW, IN US","110","N","69","N","","","","","68.1",",N,1015,","1017.1",",N","",""
