"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSSG0003","2007","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","88","N","55","N","7","N","178",",N,1223,","56.4",",N,0630,","970.5",",N","620",",N"
"US1KSSG0003","2008","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","102","N","57","N","4","N","81",",N,1216,","188.7",",N,0913,","1224.9",",N","286",",N"
"US1KSSG0003","2009","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","97","N","59","N","","","","","133.4",",N,0427,","939.8",",N","",""
"US1KSSG0003","2010","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","76","N","47","N","","","","","82.6",",N,0614,","821.2",",N","",""
"US1KSSG0003","2011","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","79","N","42","N","","","","","71.4",",N,1108,","678.6",",N","",""
"US1KSSG0003","2012","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","67","N","40","N","","","","","79.0",",N,0926,","721.7",",N","",""
"US1KSSG0003","2013","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","87","N","63","N","","","","","66.3",",N,0804,","1069.0",",N","",""
"US1KSSG0003","2014","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","73","N","37","N","","","","","63.5",",N,0607,","624.7",",N","",""
"US1KSSG0003","2015","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","96","N","57","N","","","","","95.0",",N,0517,","1107.2",",N","",""
"US1KSSG0003","2016","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","84","N","60","N","","","","","106.4",",N,0703,","1281.3",",N","",""
"US1KSSG0003","2017","37.7248","-97.4786","413.9","MAIZE 3.4 SSW, KS US","80","N","45","N","","","","","72.9",",N,0926,","857.7",",N","",""
