"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MDAL0002","2007","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","150","N","74","N","13","N","185",",N,0308,","61.2",",N,0821,","988.5",",N","1082",",N"
"US1MDAL0002","2008","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","155","N","86","N","","","","","41.9",",N,0305,","1113.2",",N","",""
"US1MDAL0002","2009","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","148","N","80","N","","","","","59.4",",N,0618,","1063.9",",N","",""
"US1MDAL0002","2010","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","115","N","63","N","","","","","63.0",",N,0206,","882.6",",N","",""
"US1MDAL0002","2011","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","158","N","88","N","","","","","84.8",",N,0907,","1292.7",",N","",""
"US1MDAL0002","2012","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","151","N","84","N","4","N","216",",N,1227,","89.2",",N,1030,","1021.4",",N","464",",N"
"US1MDAL0002","2013","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","144","N","78","N","12","N","173",",N,0325,","59.4",",N,0508,","930.9",",N","1004",",N"
"US1MDAL0002","2014","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","139","N","78","N","15","N","203",",N,0214,","93.0",",N,0613,","901.7",",N","1167",",N"
"US1MDAL0002","2015","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","171","N","88","N","10","N","86",",N,0222,","66.0",",N,0628,","1045.1",",N","501",",N"
"US1MDAL0002","2016","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","153","N","70","N","5","N","457",",N,0123,","67.6",",N,0930,","976.7",",N","840",",N"
"US1MDAL0002","2017","39.5768","-78.8498","230.1","CRESAPTOWN BEL AIR 0.9 SSE, MD US","160","N","92","N","5","N","213",",N,0314,","53.6",",N,0525,","1098.9",",N","508",",N"
