"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MDHW0002","2006","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","117","N","66","N","1","N","406",",N,0212,","77.5",",N,0626,","1177.0",",N","421",",N"
"US1MDHW0002","2007","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","116","N","70","N","6","N","140",",N,1206,","49.5",",N,1027,","877.3",",N","630",",N"
"US1MDHW0002","2008","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","133","N","75","N","","","","","58.9",",N,0907,","1078.0",",N","",""
"US1MDHW0002","2011","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","138","N","92","N","","","","","75.7",",N,0726,","1303.2",",N","",""
"US1MDHW0002","2012","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","123","N","70","N","","","","","135.1",",N,1030,","1102.7",",N","",""
"US1MDHW0002","2013","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","133","N","80","N","","","","","90.2",",N,0131,","1189.1",",N","",""
"US1MDHW0002","2014","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","134","N","88","N","","","","","88.1",",N,0501,","1213.1",",N","",""
"US1MDHW0002","2015","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","126","N","85","N","","","","","87.9",",N,0930,","1268.4",",N","",""
"US1MDHW0002","2016","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","128","N","76","N","","","","","69.1",",N,0731,","1055.8",",N","",""
"US1MDHW0002","2017","39.3463","-76.9688","154.8","SYKESVILLE 1.7 SSE, MD US","132","N","80","N","","","","","45.7",",N,0729,","954.6",",N","",""
