"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1MDWR0004","2008","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","145","N","76","N","118.4",",N,1212,","1257.4",",N"
"US1MDWR0004","2009","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","166","N","95","N","81.5",",N,0911,","1639.2",",N"
"US1MDWR0004","2010","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","108","N","72","N","81.5",",N,0819,","1154.8",",N"
"US1MDWR0004","2011","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","162","N","82","N","195.8",",N,0828,","1336.0",",N"
"US1MDWR0004","2012","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","157","N","83","N","124.7",",N,1029,","1492.0",",N"
"US1MDWR0004","2013","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","152","N","85","N","195.6",",N,0713,","1570.4",",N"
"US1MDWR0004","2014","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","148","N","83","N","54.6",",N,0925,","1144.2",",N"
"US1MDWR0004","2015","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","138","N","80","N","68.8",",N,1002,","1292.9",",N"
"US1MDWR0004","2016","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","146","N","89","N","148.6",",N,0930,","1418.3",",N"
"US1MDWR0004","2017","38.4466","-75.134","0.9","BISHOPVILLE 3.1 E, MD US","146","N","78","N","88.1",",N,0808,","1452.1",",N"
