"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOFSA101","2007","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","85","N","62","N","8","N","152",",N,0120,","94.2",",N,0628,","1012.0",",N","520",",N"
"US1MOFSA101","2008","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","109","N","72","N","3","N","114",",N,0201,","78.7",",N,0604,","1434.9",",N","218",",N"
"US1MOFSA101","2009","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","107","N","78","N","","","","","56.6",",N,0616,","1329.2",",N","",""
"US1MOFSA101","2010","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","101","N","73","N","","","","","64.8",",N,0423,","1207.6",",N","",""
"US1MOFSA101","2011","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","97","N","68","N","","","","","54.9",",N,1108,","1086.4",",N","",""
"US1MOFSA101","2012","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","70","N","46","N","","","","","63.5",",N,0901,","720.6",",N","",""
"US1MOFSA101","2013","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","89","N","64","N","","","","","54.9",",N,0807,","1054.4",",N","",""
"US1MOFSA101","2014","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","79","N","55","N","","","","","149.6",",N,0403,","1051.5",",N","",""
"US1MOFSA101","2015","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","105","N","72","N","","","","","80.8",",N,0604,","1268.0",",N","",""
"US1MOFSA101","2016","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","85","N","54","N","","","","","113.3",",N,0831,","1068.9",",N","",""
"US1MOFSA101","2017","38.7737","-93.7179","251.2","WARRENSBURG 1.1 NNE, MO US","77","N","54","N","","","","","124.5",",N,0806,","1188.1",",N","",""
