"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMDA0040","2006","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","65","N","31","N","0","N","0",",N,1231,+","49.5",",N,0904,","373.3",",N","0",",N"
"US1NMDA0040","2007","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","57","N","22","N","1","N","38",",N,0119,","44.2",",N,0705,","244.2",",N","38",",N"
"US1NMDA0040","2009","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","42","N","19","N","","","","","31.0",",N,0523,","197.1",",N","",""
"US1NMDA0040","2010","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","45","N","20","N","","","","","65.0",",N,0712,","282.4",",N","",""
"US1NMDA0040","2011","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","47","N","26","N","","","","","27.7",",N,0714,","271.3",",N","",""
"US1NMDA0040","2012","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","36","N","15","N","","","","","25.1",",N,0908,","116.2",",N","",""
"US1NMDA0040","2013","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","50","N","20","N","","","","","54.4",",N,0727,","261.1",",N","",""
"US1NMDA0040","2014","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","45","N","21","N","","","","","25.4",",N,0730,","186.7",",N","",""
"US1NMDA0040","2016","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","44","N","19","N","","","","","20.8",",N,1105,","243.6",",N","",""
"US1NMDA0040","2017","32.6275","-107.0467","1235.0","HATCH 6.9 ESE, NM US","44","N","25","N","","","","","33.0",",N,0115,","219.1",",N","",""
