"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NMGR0001","2006","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","81","N","41","N","3","N","127",",N,1220,","61.0",",N,1008,","560.0",",N","319",",N"
"US1NMGR0001","2007","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","96","N","43","N","8","N","203",",N,0122,","32.0",",N,1201,","380.6",",N","524",",N"
"US1NMGR0001","2008","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","75","N","44","N","4","N","76",",N,0216,","51.3",",N,0901,","531.4",",N","213",",N"
"US1NMGR0001","2009","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","76","N","33","N","","","","","58.4",",N,0918,","374.0",",N","",""
"US1NMGR0001","2010","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","75","N","48","N","","","","","48.5",",N,0711,","577.6",",N","",""
"US1NMGR0001","2011","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","64","N","39","N","","","","","37.1",",N,1213,","374.0",",N","",""
"US1NMGR0001","2012","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","62","N","28","N","","","","","15.2",",N,0912,","229.2",",N","",""
"US1NMGR0001","2013","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","71","N","41","N","","","","","36.6",",N,0910,","436.3",",N","",""
"US1NMGR0001","2014","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","66","N","36","N","","","","","27.7",",N,0803,","352.0",",N","",""
"US1NMGR0001","2015","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","95","N","52","N","","","","","48.3",",N,0711,","572.9",",N","",""
"US1NMGR0001","2016","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","80","N","40","N","","","","","49.5",",N,0902,","474.3",",N","",""
"US1NMGR0001","2017","32.7422","-108.2996","1811.1","SILVER CITY 3.4 SW, NM US","67","N","32","N","","","","","87.6",",N,0930,","397.8",",N","",""
