"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1NYNG0002","2008","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","174","N","117","N","35","N","330",",N,1220,","30.2",",N,0806,","1167.4",",N","2893",",N"
"US1NYNG0002","2009","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","174","N","94","N","","","","","42.7",",N,0810,","1083.0",",N","",""
"US1NYNG0002","2010","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","159","N","89","N","","","","","43.2",",N,0125,","995.7",",N","",""
"US1NYNG0002","2011","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","193","N","110","N","","","","","47.8",",N,0808,+","1322.9",",N","",""
"US1NYNG0002","2012","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","165","N","78","N","","","","","42.7",",N,0909,","905.8",",N","",""
"US1NYNG0002","2013","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","183","N","100","N","","","","","106.4",",N,0720,","1338.2",",N","",""
"US1NYNG0002","2014","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","194","N","95","N","","","","","66.0",",N,0731,","970.4",",N","",""
"US1NYNG0002","2015","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","176","N","79","N","","","","","55.6",",N,0815,","1011.8",",N","",""
"US1NYNG0002","2016","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","169","N","82","N","","","","","32.3",",N,0726,","819.5",",N","",""
"US1NYNG0002","2017","43.0573","-78.8617","176.2","NORTH TONAWANDA 1.0 NNE, NY US","190","N","110","N","","","","","50.3",",N,0708,","1292.5",",N","",""
