"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1ORLN0006","2008","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","167","N","110","N","","","","","","","","","54.9",",N,0127,","1129.7",",N","",""
"US1ORLN0006","2009","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","154","N","98","N","","","","","","","","","38.9",",N,0102,","1160.8",",N","",""
"US1ORLN0006","2010","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","187","N","137","N","2","","1","N","38",",N,1124,+","33",",N,1123,","45.5",",N,0330,","1546.8",",N","66",",N"
"US1ORLN0006","2011","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","182","N","111","N","1","","1","N","64",",N,0224,","64",",N,0224,","52.6",",N,0116,","1312.7",",N","69",",N"
"US1ORLN0006","2012","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","182","N","131","N","7","","5","N","152",",N,0321,","152",",N,0321,","79.8",",N,1120,","1763.8",",N","304",",N"
"US1ORLN0006","2013","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","161","N","94","N","2","","1","N","41",",N,1207,","25",",N,1207,","69.3",",N,0906,","958.1",",N","45",",N"
"US1ORLN0006","2014","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","181","N","111","N","4","","2","N","140",",N,0208,","76",",N,0207,","58.4",",N,1114,","1474.5",",N","143",",N"
"US1ORLN0006","2015","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","143","N","97","N","0","","0","N","0","T,N,1214,","0","T,N,1224,+","53.6",",N,1218,","1096.6",",N","0","T,N"
"US1ORLN0006","2016","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","185","N","117","N","0","","0","N","8",",N,1215,+","8",",N,1206,","56.4",",N,1018,","1404.1",",N","11",",N"
"US1ORLN0006","2017","44.3968","-122.684","196.9","SWEET HOME 1.0 ESE, OR US","182","N","120","N","1","","1","N","58",",N,0108,","58",",N,0108,","53.1",",N,1022,","1467.8",",N","88",",N"
