"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1PAAD0002","2008","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","141","N","79","N","6","N","81",",N,0221,","88.6",",N,0907,","1263.6",",N","360",",N"
"US1PAAD0002","2009","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","145","N","85","N","","","","","71.9",",N,0829,","1127.3",",N","",""
"US1PAAD0002","2010","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","108","N","70","N","","","","","70.4",",N,1001,","1006.0",",N","",""
"US1PAAD0002","2011","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","154","N","98","N","","","","","88.6",",N,0908,","1582.6",",N","",""
"US1PAAD0002","2012","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","142","N","84","N","","","","","124.5",",N,1030,","1394.4",",N","",""
"US1PAAD0002","2013","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","143","N","77","N","","","","","118.6",",N,1011,","1220.7",",N","",""
"US1PAAD0002","2014","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","141","N","87","N","","","","","67.3",",N,0331,","1200.8",",N","",""
"US1PAAD0002","2015","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","134","N","82","N","","","","","65.3",",N,0821,","1136.8",",N","",""
"US1PAAD0002","2016","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","136","N","79","N","","","","","48.5",",N,0919,","1008.0",",N","",""
"US1PAAD0002","2017","39.9192","-76.9894","139.0","ABBOTTSTOWN 2.4 N, PA US","145","N","78","N","","","","","44.2",",N,0624,","922.3",",N","",""
