"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1PAMT0022","2007","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","144","N","73","N","7","N","94",",N,0317,","94.5",",N,0416,","1185.9",",N","344",",N"
"US1PAMT0022","2008","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","148","N","72","N","","","","","66.3",",N,1212,","1176.7",",N","",""
"US1PAMT0022","2009","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","175","N","96","N","","","","","59.7",",N,0712,","1296.0",",N","",""
"US1PAMT0022","2010","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","125","N","77","N","","","","","167.6",",N,1001,","1173.2",",N","",""
"US1PAMT0022","2011","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","146","N","90","N","","","","","174.0",",N,0828,","1558.0",",N","",""
"US1PAMT0022","2012","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","140","N","79","N","6","N","84",",N,1230,","61.5",",N,0423,","1150.8",",N","353",",N"
"US1PAMT0022","2013","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","130","N","66","N","8","N","140",",N,1209,","75.9",",N,0611,","1238.2",",N","552",",N"
"US1PAMT0022","2014","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","143","N","87","N","12","N","279",",N,0103,","85.6",",N,0501,","1324.7",",N","1459",",N"
"US1PAMT0022","2015","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","124","N","66","N","11","N","178",",N,0306,","69.9",",N,0821,","1149.9",",N","887",",N"
"US1PAMT0022","2016","40.2077","-75.3522","82.9","KULPSVILLE 2.6 SSW, PA US","123","N","74","N","1","N","76",",N,0210,","46.7",",N,1201,","887.5",",N","174",",N"
