"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"US1TXBST007","2008","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","71","N","29","N","51.3",",N,0311,","374.8",",N"
"US1TXBST007","2009","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","93","N","51","N","73.2",",N,0418,","908.0",",N"
"US1TXBST007","2010","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","83","N","49","N","90.9",",N,0515,","750.9",",N"
"US1TXBST007","2011","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","56","N","23","N","50.3",",N,0622,","425.8",",N"
"US1TXBST007","2012","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","80","N","49","N","107.2",",N,0125,","865.7",",N"
"US1TXBST007","2013","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","94","N","48","N","107.2",",N,1031,","717.5",",N"
"US1TXBST007","2014","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","87","N","42","N","71.1",",N,0527,","766.5",",N"
"US1TXBST007","2015","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","112","N","62","N","175.0",",N,1025,","1285.1",",N"
"US1TXBST007","2016","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","102","N","58","N","236.2",",N,0527,","1627.6",",N"
"US1TXBST007","2017","30.1306","-97.3025","134.1","BASTROP 1.2 N, TX US","73","N","49","N","329.2",",N,0827,","1116.2",",N"
