"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1VASH0002","2007","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","111","N","63","N","8","N","203",",N,0226,","38.6",",N,0214,","772.3",",N","713",",N"
"US1VASH0002","2008","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","129","N","74","N","","","","","59.2",",N,0615,","995.1",",N","",""
"US1VASH0002","2009","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","133","N","78","N","","","","","35.8",",N,1209,","960.5",",N","",""
"US1VASH0002","2010","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","109","N","60","N","","","","","63.8",",N,1001,","829.8",",N","",""
"US1VASH0002","2011","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","145","N","80","N","","","","","48.5",",N,0417,","1084.2",",N","",""
"US1VASH0002","2012","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","121","N","67","N","","","","","145.8",",N,1030,","1081.2",",N","",""
"US1VASH0002","2013","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","128","N","77","N","","","","","89.4",",N,0723,","1110.1",",N","",""
"US1VASH0002","2014","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","128","N","79","N","","","","","72.1",",N,0516,","935.5",",N","",""
"US1VASH0002","2015","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","141","N","78","N","","","","","50.3",",N,0930,","893.3",",N","",""
"US1VASH0002","2016","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","115","N","71","N","","","","","57.4",",N,0729,","876.7",",N","",""
"US1VASH0002","2017","39.0422","-78.3506","226.2","STRASBURG 3.7 N, VA US","137","N","74","N","","","","","46.7",",N,1030,","911.1",",N","",""
