"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1WIMW0001","2008","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","131","N","87","N","28","N","305",",N,0321,","88.6",",N,0607,","1123.5",",N","2514",",N"
"US1WIMW0001","2009","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","127","N","64","N","","","","","60.7",",N,0619,","905.1",",N","",""
"US1WIMW0001","2010","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","113","N","59","N","","","","","168.9",",N,0722,","1102.9",",N","",""
"US1WIMW0001","2011","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","131","N","79","N","","","","","44.2",",N,0727,","883.4",",N","",""
"US1WIMW0001","2012","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","123","N","64","N","","","","","43.7",",N,1220,","731.6",",N","",""
"US1WIMW0001","2013","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","138","N","72","N","","","","","44.5",",N,0418,","1024.0",",N","",""
"US1WIMW0001","2014","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","144","N","66","N","","","","","90.9",",N,0618,","823.7",",N","",""
"US1WIMW0001","2015","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","112","N","63","N","","","","","92.7",",N,0409,","942.6",",N","",""
"US1WIMW0001","2016","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","134","N","73","N","","","","","82.3",",N,0907,","857.9",",N","",""
"US1WIMW0001","2017","43.0978","-87.893","202.1","SHOREWOOD 0.6 NW, WI US","131","N","77","N","","","","","38.6",",N,0803,","888.6",",N","",""
