"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00012577","1897","31.4238","-86.0667","59.4","ELBA, AL US","","","","","","","","","","","","","","","973.6","","973.6","","","","",""
"USC00012577","1931","31.4238","-86.0667","59.4","ELBA, AL US","69","6","63","6","","","0","6","","","0",",6,1231,+","48.5",",6,0713,","","","","","1040.1",",6","0",",6"
"USC00012577","1932","31.4238","-86.0667","59.4","ELBA, AL US","105","6","95","6","","","0","6","","","0",",6,1231,+","86.4",",6,1101,","","","","","1480.0",",6","0",",6"
"USC00012577","1933","31.4238","-86.0667","59.4","ELBA, AL US","77","6","74","6","","","0","6","","","0",",6,1231,+","137.2",",6,0320,","","","","","1248.6",",6","0",",6"
"USC00012577","1934","31.4238","-86.0667","59.4","ELBA, AL US","74","6","73","6","","","0","6","","","0",",6,1231,+","112.3",",6,1006,","","","","","1380.2",",6","0",",6"
"USC00012577","1935","31.4238","-86.0667","59.4","ELBA, AL US","76","6","68","6","","","","","","","","","74.2",",6,0711,","","","","","1349.2",",6","",""
"USC00012577","1937","31.4238","-86.0667","59.4","ELBA, AL US","99","6","90","6","","","","","","","","","172.7",",6,0406,","","","","","1916.0",",6","",""
"USC00012577","1939","31.4238","-86.0667","59.4","ELBA, AL US","92","6","86","6","","","","","","","","","90.2",",6,0927,","","","","","1790.9",",6","",""
"USC00012577","1940","31.4238","-86.0667","59.4","ELBA, AL US","81","6","72","6","","","","","","","","","56.6",",6,1213,","","","","","1308.4",",6","",""
"USC00012577","1942","31.4238","-86.0667","59.4","ELBA, AL US","72","6","72","6","","","","","","","","","104.1",",6,0927,","","","","","1473.6",",6","",""
"USC00012577","1944","31.4238","-86.0667","59.4","ELBA, AL US","73","6","70","6","","","","","","","","","101.6",",6,0415,+","","","","","1616.3",",6","",""
"USC00012577","1945","31.4238","-86.0667","59.4","ELBA, AL US","75","6","69","6","","","","","","","","","75.2",",6,1225,","","","","","1329.8",",6","",""
"USC00012577","1946","31.4238","-86.0667","59.4","ELBA, AL US","85","6","69","6","","","","","","","","","104.1",",6,0327,","","","","","1594.8",",6","",""
"USC00012577","1949","31.4238","-86.0667","59.4","ELBA, AL US","111","0","97","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","62.0",",0,0429,","","","","","1585.8",",0","0",",0"
"USC00012577","1950","31.4238","-86.0667","59.4","ELBA, AL US","107","0","77","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","114.3",",0,0831,","","","","","1273.0",",0","0",",0"
"USC00012577","1951","31.4238","-86.0667","59.4","ELBA, AL US","84","0","72","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","66.0",",0,0329,","","","","","1171.5",",0","0",",0"
