"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00021282","1963","33.8161","-111.9019","771.1","CAREFREE, AZ US","1693.8","","1693.8","0","34","0","22","0","0","","0","0","0","0","11","0","0","0","269","0","142","0","-9.4","0,0113,","0",",0,1231,+","0",",0,1231,+","31.8",",0,1019,","42.2","0,0724,","-2.2","0,1213","-2.2","0,1213","","","","","0.0","0,0213","-6.1","0,0120","-6.1","0,0120","-9.4","0,0113","-9.4","0,0113","813.7","","813.7","0","302.3",",0","0",",0","20.51","0","27.76","0","13.25","0"
"USC00021282","1964","33.8161","-111.9019","771.1","CAREFREE, AZ US","1596.7","","1596.7","0","40","0","25","0","0","","0","0","0","0","30","0","0","0","231","0","136","0","-4.4","0,0115,","0",",0,1231,+","13",",0,1115,","54.9",",0,0801,","41.7","0,0728,+","-2.2","0,1116","-2.2","0,1116","","","","","-2.2","0,0309","-2.2","0,0309","-4.4","0,0115","","","","","1155.2","","1155.2","0","259.5",",0","13",",0","19.33","0","26.48","0","12.18","0"
"USC00021282","1965","33.8161","-111.9019","771.1","CAREFREE, AZ US","1508.9","","1508.9","0","52","0","43","0","0","","0","0","0","0","13","0","0","0","251","0","139","0","-3.3","0,0212,","0",",0,1231,+","0","T,0,1223,+","32.5",",0,1222,","42.8","0,0704,","-1.7","0,1219","","","","","","","0.0","0,0304","-3.3","0,0212","","","","","","","1097.7","","1097.7","0","548.6",",0","0","T,0","19.65","0","26.93","0","12.38","0"
"USC00021282","1966","33.8161","-111.9019","771.1","CAREFREE, AZ US","1780.2","","1780.2","0","41","0","23","0","0","","0","0","0","0","26","0","0","0","271","0","137","0","-3.9","0,0303,","0",",0,1231,+","0","T,0,1230,+","30.5",",0,0914,","42.2","0,0718,+","-2.2","0,1227","-2.2","0,1227","","","","","-1.1","0,0305","-3.9","0,0303","","","","","","","974.0","","974.0","0","233.1",",0","0","T,0","20.58","0","27.82","0","13.34","0"
"USC00021282","1967","33.8161","-111.9019","771.1","CAREFREE, AZ US","1713.7","","1713.7","0","35","0","24","0","0","","0","0","0","0","17","0","0","0","278","0","143","0","-3.3","0,0109,+","0",",0,1231,+","0",",0,1231,+","41.4",",0,1215,","42.2","0,0703,+","-0.6","0,1201","","","","","","","-1.1","0,0221","-3.3","0,0109","","","","","","","816.2","","816.2","0","327.3",",0","0",",0","20.56","0","27.88","0","13.24","0"
"USC00021282","1968","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875.6","","875.6","0","","","","","","","","","",""
"USC00021282","1969","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","46","0","35","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0314,+","21.6",",0,0114,","","","","","","","","","","","","","","","","","","","","","","","","","257.3",",0","0","T,0","","","","","",""
"USC00021282","1970","33.8161","-111.9019","771.1","CAREFREE, AZ US","1582.4","","1582.4","0","37","0","23","0","0","","0","0","0","0","7","0","0","0","260","0","121","0","-3.9","0,0106,+","0",",0,1231,+","0",",0,1231,+","50.8",",0,0906,","47.2","0,0624,","","","","","","","","","-1.7","0,0131","-3.9","0,0106","","","","","","","877.1","","877.1","0","298.2",",0","0",",0","20.19","0","27.66","0","12.73","0"
"USC00021282","1971","33.8161","-111.9019","771.1","CAREFREE, AZ US","1559.9","","1559.9","0","39","0","24","0","0","","0","0","0","0","22","0","0","0","262","0","119","0","-9.4","0,0107,","0",",0,1231,+","0",",0,1231,+","15.2",",0,0827,+","43.3","0,0712,+","0.0","0,1030","-2.8","0,1210","","","","","-1.1","0,0303","-4.4","0,0302","-4.4","0,0302","-9.4","0,0107","-9.4","0,0107","877.8","","877.8","0","183.6",",0","0",",0","19.70","0","27.34","0","12.06","0"
"USC00021282","1972","33.8161","-111.9019","771.1","CAREFREE, AZ US","1584.1","","1584.1","0","34","0","23","0","0","","0","0","0","0","18","0","0","0","248","0","132","0","-4.4","0,0105,","0",",0,1231,+","0",",0,1231,+","91.4",",0,1019,","43.9","0,0731,","0.0","0,1206","-3.3","0,1212","","","","","-1.1","0,0207","-4.4","0,0105","-4.4","0,0105","","","","","886.2","","886.2","0","435.2",",0","0",",0","20.31","0","27.85","0","12.78","0"
"USC00021282","1973","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","41","0","25","0","0","","1","0","","","","","","","","","","","","","0","T,0,0121,","58",",0,0323,","25.9",",0,0329,","","","","","","","","","","","","","","","","","","","","","1238.3","","1238.3","0","292.5",",0","58",",0","","","","","",""
"USC00021282","1983","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","61","0","42","0","0","","0","0","0","0","7","0","","","","","","","-1.1","0,1128,+","0",",0,1231,+","0",",0,1231,+","94.0",",0,0319,","","","-1.1","0,1126","","","","","","","-0.6","0,0122","","","","","","","","","","","","","586.6",",0","0",",0","","","","","12.35","0"
"USC00021282","1984","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00021282","1987","33.8161","-111.9019","771.1","CAREFREE, AZ US","1833.1","","1833.1","0","38","0","27","0","0","","0","0","0","0","15","0","0","0","261","0","154","0","-5.0","0,0117,","0",",0,1231,+","0",",0,1231,+","55.9",",0,0225,","42.2","0,0714,","-2.2","0,1214","-2.2","0,1214","-4.4","0,1227","","","0.0","0,0227","-2.2","0,0121","-4.4","0,0118","","","","","819.8","","819.8","0","350.0",",0","0",",0","20.76","0","27.60","0","13.92","0"
"USC00021282","1988","33.8161","-111.9019","771.1","CAREFREE, AZ US","1927.4","","1927.4","0","36","0","27","0","0","","0","0","0","0","11","0","0","0","271","0","155","0","-3.9","0,1230,","0",",0,1231,+","0",",0,1231,+","50.8",",0,1014,","42.8","0,0624,+","0.0","0,1222","-2.8","0,1227","","","","","0.0","0,0123","-2.2","0,0120","","","","","","","887.2","","887.2","0","374.0",",0","0",",0","21.18","0","28.10","0","14.27","0"
"USC00021282","1989","33.8161","-111.9019","771.1","CAREFREE, AZ US","1957.6","","1957.6","0","21","0","17","0","0","","0","0","0","0","8","0","0","0","290","0","160","0","-3.3","0,0207,","0",",0,1231,+","0",",0,1231,+","38.1",",0,0104,","43.9","0,0705,+","-1.1","0,1212","","","","","","","0.0","0,0304","-3.3","0,0207","","","","","","","760.6","","760.6","0","224.4",",0","0",",0","21.78","0","28.97","0","14.58","0"
"USC00021282","1990","33.8161","-111.9019","771.1","CAREFREE, AZ US","1778.0","","1778.0","0","47","0","36","0","0","","0","0","0","0","16","0","0","0","267","0","131","0","-6.7","0,1223,+","0",",0,1231,+","0","T,0,0214,","43.2",",0,0724,","46.7","0,0626,","-2.2","0,1221","-2.2","0,1221","-6.7","0,1223","-6.7","0,1223","-0.6","0,0314","-3.9","0,0216","-6.7","0,0215","-6.7","0,0215","","","834.6","","834.6","0","430.9",",0","0","T,0","20.67","0","27.58","0","13.76","0"
"USC00021282","1991","33.8161","-111.9019","771.1","CAREFREE, AZ US","1728.0","","1728.0","0","40","0","28","0","0","","0","0","0","0","9","0","0","0","264","0","146","0","-2.2","0,1202,","0",",0,1231,+","0",",0,1231,+","43.2",",0,0301,","41.7","0,0809,+","-2.2","0,1202","-2.2","0,1202","","","","","0.0","0,0329","","","","","","","","","887.3","","887.3","0","345.0",",0","0",",0","20.63","0","27.49","0","13.77","0"
"USC00021282","1992","33.8161","-111.9019","771.1","CAREFREE, AZ US","1780.7","","1780.7","0","57","0","44","0","0","","0","0","0","0","4","0","0","0","256","0","145","0","-1.1","0,0116,","0",",0,1231,+","0",",0,1231,+","52.3",",0,0822,","41.7","0,0717,","0.0","0,1215","","","","","","","-1.1","0,0116","","","","","","","","","857.0","","857.0","0","527.2",",0","0",",0","20.74","0","27.36","0","14.11","0"
"USC00021282","1993","33.8161","-111.9019","771.1","CAREFREE, AZ US","1749.4","","1749.4","0","47","0","36","0","0","","0","0","0","0","4","0","0","0","257","0","139","0","-2.2","0,1224,","0",",0,1231,+","0",",0,1231,+","53.3",",0,1006,","43.3","0,0801,+","0.0","0,1126","-2.2","0,1224","","","","","0.0","0,0104","","","","","","","","","877.7","","877.7","0","605.8",",0","0",",0","20.78","0","27.37","0","14.18","0"
"USC00021282","1994","33.8161","-111.9019","771.1","CAREFREE, AZ US","1941.5","","1941.5","0","42","0","21","0","","","0","0","0","0","2","0","0","0","281","0","141","0","-2.2","0,1120,","","","0",",0,1231,+","32.3",",0,1206,","45.6","0,0629,","-2.2","0,1120","-2.2","0,1120","","","","","","","","","","","","","","","763.7","","763.7","0","254.3",",0","0",",0","21.34","0","28.21","0","14.47","0"
"USC00021282","1995","33.8161","-111.9019","771.1","CAREFREE, AZ US","1811.1","","1811.1","0","36","0","25","0","0","","0","0","0","0","1","0","0","0","273","0","131","0","0.0","0,0118,","0",",0,1231,+","0",",0,1231,+","51.3",",0,0928,","47.8","0,0728,","","","","","","","","","0.0","0,0118","","","","","","","","","817.4","","817.4","0","390.5",",0","0",",0","21.43","0","28.14","0","14.72","0"
"USC00021282","1996","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","26","0","19","0","0","","0","0","0","0","5","0","","","","","","","-4.4","0,1218,","0",",0,1231,+","0",",0,1231,+","38.1",",0,0715,","","","-4.4","0,1218","-4.4","0,1218","-4.4","0,1218","","","-1.1","0,0301","","","","","","","","","577.6","","577.6","0","230.2",",0","0",",0","","","","","14.93","0"
"USC00021282","1997","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","21","0","14","0","0","","0","0","0","0","5","0","","","","","","","-2.2","0,1227,+","0",",0,1231,+","0",",0,1231,+","25.7",",0,1222,","","","-2.2","0,1226","-2.2","0,1226","","","","","-0.6","0,0301","-2.2","0,0108","","","","","","","","","","","124.5",",0","0",",0","","","","","14.81","0"
"USC00021282","1998","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","53","0","33","0","","","0","0","0","0","4","0","","","","","","","-2.8","0,1207,","","","20",",0,0329,","48.0",",0,0204,","","","0.0","0,1206","-2.8","0,1207","","","","","","","","","","","","","","","","","","","397.8",",0","20",",0","","","","","13.62","0"
"USC00021282","1999","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","36","0","20","0","0","","1","0","0","0","1","0","","","","","","","0.0","0,0402,","0","T,0,0402,","25",",0,0402,","30.7",",0,0715,","","","","","","","","","","","0.0","0,0402","","","","","","","","","","","","","215.7",",0","25",",0","","","","","14.41","0"
"USC00021282","2000","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","44","0","25","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","48.5",",0,0306,","","","","","","","","","","","","","","","","","","","","","","","","","313.4",",0","0",",0","","","","","",""
"USC00021282","2001","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","52","0","22","0","0","","0","0","0","0","5","0","","","","","","","-1.7","0,1214,+","0",",0,1231,+","0",",0,1231,+","33.5",",0,0109,","","","-1.7","0,1213","","","","","","","-0.6","0,0119","","","","","","","","","","","","","267.3",",0","0",",0","","","","","14.89","0"
"USC00021282","2002","33.8161","-111.9019","771.1","CAREFREE, AZ US","","","","","32","0","14","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","19.3",",0,0909,","","","","","","","","","","","","","","","","","","","","","","","","","135.6",",0","0",",0","","","","","",""
