"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00022439","1958","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","2471.6","","2471.6","0","33","0","15","0","0","","0","0","0","0","0","0","0","0","279","0","174","0","2.8","0,1221,","0",",0,1231,+","0",",0,1231,+","20.3",",0,0307,","48.9","0,0711,","4016.2","0","","","","","","","","","","","","","","","133.3",",0","0",",0","23.64","0","30.49","0","16.80","0","59532","0"
"USC00022439","1959","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","2346.4","","2346.4","0","28","0","16","0","0","","0","0","0","0","0","0","0","0","273","0","165","0","0.6","0,0105,","0",",0,1231,+","0",",0,1231,+","32.8",",0,1225,","48.3","0,0727,","","","","","","","","","474.0","","474.0","0","","","","","159.3",",0","0",",0","23.32","0","30.01","0","16.63","0","",""
"USC00022439","1960","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","2322.0","","2322.0","0","19","0","12","0","0","","0","0","0","0","5","0","0","0","250","0","160","0","-2.2","0,0102,","0",",0,1231,+","0",",0,1231,+","29.0",",0,1106,","48.3","0,0717,","","","","","0.0","0,0119","-2.2","0,0102","728.8","","728.8","0","","","","","119.8",",0","0",",0","22.70","0","29.62","0","15.78","0","",""
"USC00022439","1962","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","2274.9","","2274.9","0","16","0","6","0","0","","0","0","0","0","2","0","0","0","268","0","159","0","-3.9","0,0112,","0",",0,1231,+","0",",0,1231,+","7.9",",0,0927,","47.2","0,0816,+","","","","","-3.3","0,0113","-3.3","0,0113","809.0","","809.0","0","","","","","36.5",",0","0",",0","23.09","0","30.18","0","16.00","0","",""
"USC00022439","1963","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","","","","","24","0","14","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","18.3",",0,0918,","","","","","","","","","","","540.0","","540.0","0","","","","","98.2",",0","0",",0","","","","","","","",""
"USC00022439","1964","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","2002.3","","2002.3","0","13","0","2","0","0","","0","0","0","0","9","0","0","0","230","0","145","0","-1.7","0,0224,","0",",0,1231,+","0",",0,1231,+","5.6",",0,0727,","47.8","0,0713,","","","-1.1","0,1216","-1.7","0,0224","","","","","","","     12.76","0,P,N","     25.80","0,P,N","20.6",",0","0",",0","21.78","0","28.75","0","14.80","0","",""
"USC00022439","1965","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","","","","","39","0","28","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","30.5",",0,1210,","","","","","","","","","","","","","","","","","","","288.9",",0","0",",0","","","","","","","",""
"USC00022439","1966","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","","","","","23","0","15","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","9.7",",0,1206,+","","","","","","","","","","","","","","","","","","","96.2",",0","0",",0","","","","","","","",""
"USC00022439","1967","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","","","","","25","0","9","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","12.4",",0,0123,","","","","","","","","","","","","","","","","","","","92.3",",0","0",",0","","","","","","","",""
"USC00022439","1968","35.2","-114.56667","200.9","DAVIS DAM NUMBER 2, AZ US","","","","","15","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","15.5",",0,0728,+","","","","","","","","","","","","","","","","","","","55.3",",0","0",",0","","","","","","","",""
