"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00025467","1897","33.4114","-111.8183","376.4","MESA, AZ US","1800.9","","1800.9","0","30","0","29","0","0","","0","0","0","0","32","0","0","0","273","0","160","0","-4.4","0,1221,","0",",0,1231,+","0","T,0,0529,","27.9",",0,0111,","43.9","0,0806,","","","0.0","0,1107","-2.2","0,1126","-4.4","0,1221","","","-1.7","0,0330","-2.8","0,0321","","","","","","","","","","","","","","","228.5",",0","0","T,0","20.16","0","28.83","0","11.48","0","",""
"USC00025467","1898","33.4114","-111.8183","376.4","MESA, AZ US","1799.9","","1799.9","0","21","0","18","0","0","","0","0","0","0","33","0","0","0","280","0","158","0","-4.4","0,0124,","0",",0,1231,+","0",",0,1231,+","38.1",",0,1209,","45.0","0,0726,","","","0.0","0,1111","-2.2","0,1122","","","","","0.0","0,0327","-4.4","0,0124","-4.4","0,0124","","","","","1096.9","","1096.9","0","","","","","199.1",",0","0",",0","20.22","0","28.55","0","11.89","0","",""
"USC00025467","1899","33.4114","-111.8183","376.4","MESA, AZ US","1527.5","","1527.5","0","19","0","13","0","0","","0","0","0","0","26","0","0","0","278","0","139","0","-4.4","0,0206,","0",",0,1231,+","0",",0,1231,+","28.4",",0,0709,","43.9","0,0902,+","","","0.0","0,1201","-2.2","0,1209","","","","","-0.6","0,0312","-2.2","0,0208","-4.4","0,0206","","","","","1182.4","","1182.4","0","","","","","140.1",",0","0",",0","19.48","0","28.40","0","10.56","0","",""
"USC00025467","1900","33.4114","-111.8183","376.4","MESA, AZ US","1632.8","","1632.8","0","23","0","10","0","0","","0","0","0","0","13","0","0","0","322","0","158","0","-7.8","0,1230,","0",",0,1231,+","0",",0,1231,+","40.6",",0,1117,","44.4","0,0711,","","","0.0","0,1218","-4.4","0,1229","-4.4","0,1229","-7.8","0,1230","0.0","0,0209","-3.9","0,0208","","","","","","","836.0","","836.0","0","","","","","129.5",",0","0",",0","20.70","0","29.84","0","11.55","0","",""
"USC00025467","1901","33.4114","-111.8183","376.4","MESA, AZ US","1521.9","","1521.9","0","20","0","17","0","0","","0","0","0","0","29","0","0","0","300","0","151","0","-8.3","0,1212,","0",",0,1231,+","0","T,0,1112,+","29.2",",0,0812,","45.0","0,0708,","","","-2.2","0,1207","-2.2","0,1207","-8.3","0,1212","-8.3","0,1212","-0.6","0,0324","-3.9","0,0112","-4.4","0,0111","","","","","889.9","","889.9","0","","","","","180.6",",0","0","T,0","19.91","0","29.19","0","10.64","0","",""
"USC00025467","1902","33.4114","-111.8183","376.4","MESA, AZ US","1669.1","","1669.1","0","27","0","15","0","0","","0","0","0","0","26","0","0","0","286","0","163","0","-4.4","0,1202,","0",",0,1231,+","0",",0,1231,+","24.4",",0,1120,","46.1","0,0624,+","","","0.0","0,1127","-4.4","0,1202","-4.4","0,1202","","","0.0","0,0315","-2.2","0,0203","","","","","","","896.1","","896.1","0","","","","","146.8",",0","0",",0","20.05","0","29.35","0","10.76","0","",""
"USC00025467","1903","33.4114","-111.8183","376.4","MESA, AZ US","","","","","22","0","16","0","0","","0","0","","","","","0","0","301","0","161","0","","","0","T,0,0202,","0","T,0,0905,+","27.2",",0,0927,","45.6","0,0628,","","","","","","","","","","","","","","","","","","","","","1030.6","","1030.6","0","","","","","144.5",",0","0","T,0","","","29.93","0","","","",""
"USC00025467","1904","33.4114","-111.8183","376.4","MESA, AZ US","1734.5","","1734.5","0","22","0","16","0","0","","0","0","0","0","27","0","0","0","316","0","177","0","-7.8","0,0121,","0",",0,1231,+","0",",0,1231,+","33.8",",0,0729,","44.4","0,0711,+","","","0.0","0,1111","-2.2","0,1229","","","","","-2.2","0,0131","-2.2","0,0131","-5.6","0,0126","-7.2","0,0122","","","","","","","","","","","171.7",",0","0",",0","20.88","0","30.82","0","10.94","0","",""
"USC00025467","1905","33.4114","-111.8183","376.4","MESA, AZ US","1706.6","","1706.6","0","61","0","44","0","0","","0","0","0","0","17","0","0","0","281","0","156","0","-3.9","0,1231,","0",",0,1231,+","0","T,0,0316,+","35.1",",0,0411,","47.8","0,0706,","","","-1.7","0,1130","-2.2","0,1222","","","","","0.0","0,0213","","","","","","","","","713.1","","713.1","0","","","","","515.7",",0","0","T,0","20.66","0","29.51","0","11.81","0","",""
"USC00025467","1906","33.4114","-111.8183","376.4","MESA, AZ US","1756.7","","1756.7","0","34","0","22","0","0","","0","0","0","0","22","0","0","0","291","0","177","0","-5.0","0,0103,","0",",0,1231,+","0","T,0,1231,+","70.6",",0,0801,","45.6","0,0724,","","","-1.1","0,1022","-3.3","0,1119","","","","","-1.7","0,0302","-3.3","0,0301","-4.4","0,0104","","","","","904.0","","904.0","0","","","","","296.5",",0","0","T,0","20.71","0","30.40","0","11.03","0","",""
"USC00025467","1907","33.4114","-111.8183","376.4","MESA, AZ US","1666.1","","1666.1","0","40","0","25","0","0","","0","0","0","0","17","0","0","0","303","0","155","0","-3.3","0,1222,","0",",0,1231,+","0","T,0,1017,+","28.4",",0,1017,","48.3","0,0703,","","","0.0","0,1211","-2.2","0,1218","","","","","0.0","0,0313","","","","","","","","","808.9","","808.9","0","","","","","224.2",",0","0","T,0","20.74","0","29.87","0","11.60","0","",""
"USC00025467","1908","33.4114","-111.8183","376.4","MESA, AZ US","1676.6","","1676.6","0","39","0","23","0","0","","0","0","0","0","19","0","0","0","287","0","160","0","-2.2","0,0213,+","0",",0,1231,+","0","T,0,0512,","30.2",",0,0203,","46.1","0,0625,","","","0.0","0,1124","","","","","","","-1.1","0,0214","-2.2","0,0213","","","","","","","848.5","","848.5","0","","","","","258.3",",0","0","T,0","20.37","0","29.27","0","11.47","0","",""
"USC00025467","1909","33.4114","-111.8183","376.4","MESA, AZ US","1770.5","","1770.5","0","36","0","24","0","0","","0","0","0","0","18","0","0","0","276","0","185","0","-6.1","0,1204,+","0",",0,1231,+","0","T,0,1205,+","28.2",",0,0719,","45.6","0,0714,","","","0.0","0,1115","-6.1","0,1203","-6.1","0,1203","","","0.0","0,0224","-2.2","0,0222","","","","","","","966.8","","966.8","0","","","","","254.9",",0","0","T,0","20.42","0","29.47","0","11.36","0","",""
"USC00025467","1910","33.4114","-111.8183","376.4","MESA, AZ US","2000.5","","2000.5","0","28","0","23","0","0","","0","0","0","0","19","0","0","0","316","0","186","0","-5.6","0,0106,","0",",0,1231,+","0","T,0,1104,+","25.9",",0,1113,","47.8","0,0529,","","","0.0","0,1221","-3.3","0,1231","","","","","-3.3","0,0217","-3.3","0,0217","-5.6","0,0106","","","","","844.7","","844.7","0","","","","","216.4",",0","0","T,0","21.75","0","30.85","0","12.64","0","",""
