"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00033553","1908","33.033333","-92.183333","53.3","HUTTIG, AR US","","","","","","","","","","","","","0","6","253","6","76","6","","","","","36.7","6,0731,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.01","6","",""
"USC00033553","1909","33.033333","-92.183333","53.3","HUTTIG, AR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1126.0","","1126.0","6","","","","","","","",""
"USC00033553","1910","33.033333","-92.183333","53.3","HUTTIG, AR US","1212.6","","1212.6","6","88","6","72","6","0","6","46","6","0","6","245","6","89","6","-12.2","6,0218,","50.0",",6,0120,","36.7","6,0803,","-3.3","6,1029","-3.3","6,1029","-6.7","6,1202","-6.7","6,1202","","","0.0","6,0425","-6.1","6,0225","-6.1","6,0225","-7.2","6,0219","-12.2","6,0218","","","","","1232.7",",6","18.17","6","25.14","6","11.20","6"
"USC00033553","1911","33.033333","-92.183333","53.3","HUTTIG, AR US","1324.2","","1324.2","6","99","6","76","6","0","6","33","6","0","6","256","6","102","6","-13.3","6,0104,","96.5",",6,0814,","40.0","6,0610,","0.0","6,1103","-2.2","6,1112","-5.6","6,1113","-6.7","6,1129","","","-0.6","6,0225","-3.9","6,0223","-4.4","6,0222","-8.9","6,0105","-8.9","6,0105","954.1","","954.1","6","1285.1",",6","19.37","6","26.10","6","12.64","6"
"USC00033553","1912","33.033333","-92.183333","53.3","HUTTIG, AR US","","","","","","","","","0","6","59","6","1","6","230","6","95","6","-11.7","6,0113,+","","","37.2","6,0908,+","0.0","6,1102","-3.9","6,1103","-4.4","6,1125","","","","","-1.1","6,0325","-2.2","6,0228","-4.4","6,0227","-6.7","6,0208","-11.1","6,0204","1454.9","","1454.9","6","","","17.41","6","24.10","6","10.73","6"
"USC00033553","1913","33.033333","-92.183333","53.3","HUTTIG, AR US","1129.9","","1129.9","6","","","","","0","6","36","6","0","6","243","6","87","6","-6.1","6,0108,","","","38.9","6,0904,","0.0","6,1028","-3.9","6,1209","","","","","","","0.0","6,0328","-2.2","6,0317","-5.6","6,0214","","","","","","","","","","","18.02","6","24.71","6","11.32","6"
"USC00033553","1914","33.033333","-92.183333","53.3","HUTTIG, AR US","","","","","98","6","63","6","0","6","50","6","","","","","","","-10.0","6,1215,","101.1",",6,0504,","","","-3.3","6,1028","-3.3","6,1028","-6.7","6,1121","-6.7","6,1121","-8.9","6,1214","-2.2","6,0323","-2.2","6,0323","-5.6","6,0226","-8.9","6,0207","-8.9","6,0207","1271.6","","1271.6","6","1089.8",",6","","","","","11.36","6"
"USC00033553","1915","33.033333","-92.183333","53.3","HUTTIG, AR US","1229.7","","1229.7","6","82","6","63","6","0","6","53","6","1","6","240","6","96","6","-7.2","6,0125,","77.0",",6,0507,","37.8","6,0729,","0.0","6,1011","-4.4","6,1130","-4.4","6,1130","-6.7","6,1203","","","0.0","6,0331","-2.8","6,0324","-6.7","6,0203","-6.7","6,0203","","","","","","","1196.9",",6","17.95","6","24.84","6","11.06","6"
"USC00033553","1916","33.033333","-92.183333","53.3","HUTTIG, AR US","1253.5","","1253.5","6","","","","","0","6","43","6","1","6","278","6","110","6","-10.0","6,0113,","","","37.8","6,0714,","0.0","6,1022","-7.2","6,1115","-7.2","6,1115","-7.2","6,1115","-9.4","6,1222","-3.9","6,0304","-3.9","6,0304","-4.4","6,0204","-7.2","6,0203","-10.0","6,0113","1006.6","","1006.6","6","","","18.61","6","26.20","6","11.03","6"
"USC00033553","1917","33.033333","-92.183333","53.3","HUTTIG, AR US","1103.6","","1103.6","6","82","6","60","6","0","6","62","6","4","6","256","6","94","6","-13.3","6,1230,","87.6",",6,0404,","39.4","6,0713,","-2.2","6,1020","-2.2","6,1020","-4.4","6,1115","-11.1","6,1209","-11.1","6,1209","0.0","6,0309","-6.7","6,0305","-6.7","6,0305","-6.7","6,0305","-8.9","6,0205","1244.7","","1244.7","6","1094.1",",6","17.24","6","24.90","6","9.58","6"
