"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00040607","1911","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","53","6","43","6","","","","","","","","","","","","","","","","","","","","","41.7",",6,0129,","","","","","","","","","","","","","","","","","","","","","","","","","","","602.1",",6","","","","","","","","","",""
"USC00040607","1912","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","40","6","35","6","","","","","","","","","","","","","","","","","","","","","58.4",",6,0309,","","","","","","","","","","","","","","","","","","","","","","","","","","","470.0",",6","","","","","","","","","",""
"USC00040607","1914","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","45","6","37","6","","","","","","","","","","","","","","","","","","","","","72.6",",6,0219,","","","","","","","","","","","","","","","","","","","","","","","","","","","725.6",",6","","","","","","","","","",""
"USC00040607","1915","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","44","6","40","6","","","","","","","","","","","","","","","","","","","","","76.2",",6,0209,","","","","","","","","","","","","","","","","","","","","","","","","","","","718.6",",6","","","","","","","","","",""
"USC00040607","1916","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","49","6","46","6","","","","","","","","","","","","","","","","","","","","","151.1",",6,0117,","","","","","","","","","","","","","","","","","","","","","","","","","","","946.6",",6","","","","","","","","","",""
"USC00040607","1917","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","36","6","33","6","","","","","","","","","","","","","","","","","","","","","56.4",",6,0222,","","","","","","","","","","","","","","","","","","","","","","","","","","","418.6",",6","","","","","","","","","",""
"USC00040607","1918","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","42","6","36","6","","","","","","","","","","","","","","","","","","","","","59.4",",6,0307,","","","","","","","","","","","","","","","","","","","","","","","","","","","610.4",",6","","","","","","","","","",""
"USC00040607","1919","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","32","6","32","6","","","","","","","","","","","","","","","","","","","","","32.5",",6,0211,","","","","","","","","","","","","","","","","","","","","","","","","","","","421.7",",6","","","","","","","","","",""
"USC00040607","1920","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","50","6","41","6","","","","","","","","","","","","","","","","","","","","","54.6",",6,1019,","","","","","","","","","","","","","","","","","","","","","","","","","","","642.9",",6","","","","","","","","","",""
"USC00040607","1921","33.98333","-116.96667","929.9","BEAUMONT PUMP PLANT, CA US","","","","","46","6","41","6","","","","","","","","","","","","","","","","","","","","","100.1",",6,1220,","","","","","","","","","","","","","","","","","","","","","","","","","","","983.2",",6","","","","","","","","","",""
