"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041206","1947","37.58333","-122.35","3.0","BURLINGAME, CA US","36.8","","36.8","6","48","6","25","6","","","","","0","6","11","6","0","6","124","6","0","6","-5.6","6,0116,","","","","","38.6",",6,0212,","30.0","6,0901,","","","0.0","6,1121","","","-2.8","6,0125","-2.8","6,0125","-5.6","6,0116","1848.9","","1848.9","6","","","","","293.0",",6","","","13.43","6","18.58","6","8.28","6","",""
"USC00041206","1948","37.58333","-122.35","3.0","BURLINGAME, CA US","11.5","","11.5","0","72","0","39","0","","","","","0","0","5","0","0","0","86","0","0","0","-2.2","0,1224,","","","","","46.5",",0,1226,","31.1","0,0714,","","","0.0","0,1222","-2.2","0,1224","0.0","6,0213","","","","","1967.4","","1967.4","0","","","","","331.7",",0","","","12.70","0","17.83","0","7.57","0","",""
"USC00041206","1949","37.58333","-122.35","3.0","BURLINGAME, CA US","59.3","","59.3","0","55","0","35","0","0","","0","0","0","0","33","0","0","0","135","0","4","0","-5.6","0,0105,","0",",0,1231,+","0",",0,1231,+","25.4",",0,0311,","32.2","0,0923,+","","","0.0","0,1210","","","0.0","0,0213","-3.3","0,0128","-4.4","0,0126","2037.7","","2037.7","0","","","","","344.3",",0","0",",0","13.31","0","18.93","0","7.69","0","",""
"USC00041206","1950","37.58333","-122.35","3.0","BURLINGAME, CA US","66.4","","66.4","0","63","0","44","0","0","","0","0","0","0","13","0","0","0","159","0","4","0","-3.9","0,0105,","0",",0,1231,+","0","T,0,0113,","65.0",",0,1118,","36.1","0,0529,","","","","","","","-1.1","0,0202","-2.8","0,0201","","","1845.8","","1845.8","0","","","","","661.8",",0","0","T,0","13.94","0","19.77","0","8.10","0","",""
"USC00041206","1951","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","64","0","41","0","0","","0","0","","","","","0","0","128","0","1","0","","","0",",0,1231,+","0","T,0,0111,","41.9",",0,1201,","33.9","0,0908,","","","","","","","","","","","","","","","","","","","","","492.0",",0","0","T,0","","","19.08","0","","","",""
"USC00041206","1952","37.58333","-122.35","3.0","BURLINGAME, CA US","39.2","","39.2","0","74","0","44","0","0","","0","0","0","0","5","0","0","0","121","0","2","0","-1.1","0,0109,+","0",",0,1231,+","0",",0,1231,+","47.2",",0,1207,","33.3","0,0703,","","","","","","","-1.1","0,0109","","","","","1817.2","","1817.2","0","","","","","706.6",",0","0",",0","13.65","0","18.88","0","8.42","0","",""
"USC00041206","1953","37.58333","-122.35","3.0","BURLINGAME, CA US","44.8","","44.8","0","58","0","28","0","0","","0","0","0","0","2","0","0","0","117","0","2","0","0.0","0,0302,+","0",",0,1231,+","0",",0,1231,+","34.5",",0,1114,","32.8","0,0913,","","","","","","","0.0","0,0302","","","","","1640.8","","1640.8","0","","","","","270.5",",0","0",",0","13.97","0","19.37","0","8.57","0","",""
"USC00041206","1955","37.58333","-122.35","3.0","BURLINGAME, CA US","13.0","","13.0","0","58","0","35","0","0","","0","0","0","0","3","0","0","0","87","0","0","0","0.0","0,0122,+","0",",0,1231,+","0",",0,1231,+","83.8",",0,1223,","29.4","0,0605,+","","","","","","","0.0","0,0122","","","","","1769.9","","1769.9","0","","","","","499.8",",0","0",",0","12.97","0","18.02","0","7.91","0","",""
"USC00041206","1956","37.58333","-122.35","3.0","BURLINGAME, CA US","33.9","","33.9","0","54","0","29","0","0","","0","0","0","0","4","0","0","0","99","0","3","0","-1.1","0,1209,+","0",",0,1231,+","0",",0,1231,+","34.5",",0,0115,","32.8","0,0628,+","","","-1.1","0,1208","","","0.0","0,0218","","","","","1970.1","","1970.1","0","","","","","357.6",",0","0",",0","13.20","0","18.24","0","8.15","0","45323","0"
"USC00041206","1957","37.58333","-122.35","3.0","BURLINGAME, CA US","46.6","","46.6","0","80","0","45","0","0","","0","0","0","0","7","0","0","0","116","0","0","0","-0.6","0,0131,+","0",",0,1231,+","0",",0,1231,+","39.6",",0,1010,","30.6","0,0624,+","","","","","","","0.0","0,0204","","","","","1775.5","","1775.5","0","","","","","605.0",",0","0",",0","13.83","0","18.43","0","9.24","0","44183","0"
"USC00041206","1958","37.58333","-122.35","3.0","BURLINGAME, CA US","77.5","","77.5","0","59","0","44","0","0","","0","0","0","0","1","0","0","0","154","0","4","0","0.0","0,1117,","0",",0,1231,+","0",",0,1231,+","56.9",",0,0402,","34.4","0,0906,","1427.7","0","0.0","0,1117","","","","","","","","","1583.4","","1583.4","0","","","","","774.8",",0","0",",0","14.54","0","19.44","0","9.64","0","40814","0"
"USC00041206","1959","37.58333","-122.35","3.0","BURLINGAME, CA US","64.2","","64.2","0","32","0","19","0","0","","0","0","0","0","0","0","0","0","147","0","1","0","0.6","0,0213,+","0",",0,1231,+","0",",0,1231,+","47.2",",0,0918,","32.2","0,0711,","1626.2","0","","","","","","","","","","","1481.7","","1481.7","0","","","","","301.5",",0","0",",0","14.20","0","19.52","0","8.88","0","54039","0"
"USC00041206","1960","37.58333","-122.35","3.0","BURLINGAME, CA US","38.0","","38.0","0","53","0","37","0","0","","0","0","0","0","3","0","0","0","106","0","2","0","-2.8","0,0102,","0",",0,1231,+","0",",0,1231,+","33.3",",0,1113,","37.2","0,0602,","","","0.0","0,1207","","","0.0","0,0104","-2.8","0,0102","","","1676.2","","1676.2","0","","","","","381.2",",0","0",",0","13.30","0","18.10","0","8.49","0","52537","0"
"USC00041206","1961","37.58333","-122.35","3.0","BURLINGAME, CA US","117.6","","117.6","0","53","0","30","0","0","","0","0","0","0","9","0","0","0","116","0","8","0","-1.1","0,0107,","0",",0,1231,+","0",",0,1231,+","32.8",",0,0315,","38.3","0,0614,","1417.5","0","-0.6","0,1211","","","0.0","0,0119","","","","","1910.3","","1910.3","0","","","","","362.2",",0","0",",0","13.68","0","18.54","0","8.81","0","38192","0"
"USC00041206","1962","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","51","0","32","0","0","","1","0","0","0","14","0","","","","","","","-1.7","0,1225,","0",",0,1231,+","33",",0,0121,","80.0",",0,1013,","","","","","-1.7","0,1225","","","-0.6","0,0227","","","","","","","","","","","","","581.6",",0","33",",0","","","","","8.50","0","",""
"USC00041206","1963","37.58333","-122.35","3.0","BURLINGAME, CA US","42.7","","42.7","0","56","0","38","0","0","","0","0","0","0","14","0","0","0","151","0","2","0","-3.9","0,0113,","0",",0,1231,+","0",",0,1231,+","43.9",",0,0131,","33.3","0,0726,","","","-1.1","0,1212","","","0.0","0,0128","-2.2","0,0116","","","","","","","","","","","520.6",",0","0",",0","13.65","0","19.55","0","7.74","0","16869","0"
"USC00041206","1964","37.58333","-122.35","3.0","BURLINGAME, CA US","94.1","","94.1","0","64","0","47","0","0","","0","0","0","0","6","0","0","0","163","0","9","0","-0.6","0,0229,+","0",",0,1231,+","0",",0,1231,+","71.6",",0,0121,","35.0","0,0919,+","","","0.0","0,1120","","","-0.6","0,0229","","","","","1771.7","","1771.7","0","     10.16","0,P,N","     23.96","0,P,N","475.5",",0","0",",0","14.03","0","20.33","0","7.72","0","",""
"USC00041206","1965","37.58333","-122.35","3.0","BURLINGAME, CA US","60.0","","60.0","0","57","0","47","0","0","","0","0","0","0","9","0","0","0","178","0","0","0","-1.7","0,1218,+","0",",0,1231,+","0",",0,1231,+","51.1",",0,1225,","31.1","0,0828,+","","","0.0","0,1215","","","-1.7","0,0101","","","","","1542.3","","1542.3","0","     10.49","0,P,N","     24.33","0,P,N","574.9",",0","0",",0","14.02","0","20.10","0","7.94","0","",""
"USC00041206","1966","37.58333","-122.35","3.0","BURLINGAME, CA US","126.2","","126.2","0","45","0","34","0","0","","0","0","0","0","8","0","0","0","191","0","7","0","-1.1","0,1228,+","0",",0,1231,+","0",",0,1231,+","31.8",",0,1205,","38.3","0,0613,","","","-1.1","0,1228","","","0.0","0,0303","","","","","1523.6","","1523.6","0","     11.45","0,P,N","     23.16","0,P,N","426.8",",0","0",",0","14.65","0","21.20","0","8.10","0","",""
"USC00041206","1967","37.58333","-122.35","3.0","BURLINGAME, CA US","106.2","","106.2","0","60","0","46","0","0","","0","0","0","0","6","0","0","0","167","0","7","0","-1.1","0,1221,+","0",",0,1231,+","0",",0,1231,+","141.0",",0,0121,","33.3","0,0920,+","","","-1.1","0,1210","","","","","","","","","1658.7","","1658.7","0","","","","","736.0",",0","0",",0","14.08","0","20.26","0","7.90","0","",""
"USC00041206","1968","37.58333","-122.35","3.0","BURLINGAME, CA US","79.5","","79.5","0","62","0","42","0","0","","0","0","0","0","6","0","0","0","164","0","3","0","-1.7","0,1221,+","0",",0,1231,+","0",",0,1231,+","53.3",",0,0130,","36.7","0,0830,+","","","-0.6","0,1220","","","-1.1","0,0111","","","","","1409.8","","1409.8","0","","","","","497.5",",0","0",",0","14.21","0","19.77","0","8.65","0","30162","0"
"USC00041206","1969","37.58333","-122.35","3.0","BURLINGAME, CA US","145.1","","145.1","0","54","0","48","0","0","","0","0","0","0","4","0","0","0","166","0","2","0","-2.8","0,1231,","0",",0,1231,+","0",",0,1231,+","37.6",",0,0119,","35.0","0,0907,","","","-1.1","0,1205","-2.2","0,1230","0.0","0,0129","","","","","1694.8","","1694.8","0","","","","","688.7",",0","0",",0","14.36","0","20.05","0","8.66","0","",""
"USC00041206","1970","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","62","0","47","0","0","","0","0","0","0","7","0","","","","","","","-5.6","0,0106,+","0",",0,1231,+","0",",0,1231,+","59.7",",0,0114,","","","1694.2","0","0.0","0,1225","","","-0.6","0,0107","-5.6","0,0106","-5.6","0,0106","","","","","","","     21.81","0,P,N","731.3",",0","0",",0","","","","","9.24","0","",""
"USC00041206","1971","37.58333","-122.35","3.0","BURLINGAME, CA US","96.0","","96.0","0","53","0","31","0","0","","0","0","0","0","5","0","0","0","124","0","4","0","-1.1","0,0205,","0",",0,1231,+","0",",0,1231,+","37.6",",0,0312,","38.9","0,0914,","","","0.0","0,1217","","","-1.1","0,0205","","","","","","","","","      8.58","0,P,N","     20.99","0,P,N","298.1",",0","0",",0","13.58","0","18.93","0","8.23","0","48523","0"
"USC00041206","1972","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","47","0","37","0","0","","0","0","0","0","9","0","0","0","128","0","3","0","-3.9","0,1210,+","0",",0,1231,+","0",",0,1231,+","47.2",",0,1011,","39.4","0,0713,","","","-0.6","0,1205","-2.2","0,1208","","","","","","","1587.6","","1587.6","0","      8.72","0,P,N","     22.36","0,P,N","478.1",",0","0",",0","14.12","0","19.26","0","8.98","0","",""
"USC00041206","1974","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","56","0","41","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","34.5",",0,0103,","","","","","","","","","","","","","","","","","","","","","","","457.7",",0","0",",0","","","","","","","",""
"USC00041206","1975","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","56","0","37","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","51.3",",0,0322,","","","","","","","","","","","","","","","","","","","     10.11","0,P,N","     22.50","0,P,N","519.8",",0","0",",0","","","","","","","",""
"USC00041206","1976","37.58333","-122.35","3.0","BURLINGAME, CA US","","","","","41","0","20","0","0","","0","0","","","","","0","0","174","0","12","0","","","0",",0,1231,+","0","T,0,0205,","69.9",",0,1230,","40.0","0,0626,","1256.5","0","","","","","","","","","","","","","","","     10.00","0,P,N","","","277.6",",0","0","T,0","","","20.70","0","","","24507","0"
"USC00041206","1977","37.58333","-122.35","3.0","BURLINGAME, CA US","37.5","","37.5","0","61","0","29","0","0","","0","0","0","0","1","0","0","0","143","0","0","0","-0.6","0,0107,","0",",0,1231,+","0",",0,1231,+","45.7",",0,1121,","31.1","0,0729,","","","","","","","-0.6","0,0107","","","","","1636.1","","1636.1","0","      9.94","0,P,N","","","443.1",",0","0",",0","13.84","0","19.64","0","8.04","0","25525","0"
