"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041428","1927","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","","","","","66","6","43","6","","","","","","","","","","","","","","","","","","","","","40.1",",6,1229,","","","","","","","","","","","","","","","","","","","","","","","","","568.9",",6","","","","","","","","","",""
"USC00041428","1928","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","","","","","47","6","32","6","","","","","","","","","","","","","","","","","","","","","47.5",",6,0204,","","","","","","","","","","","","","","","","","","","","","","","","","486.4",",6","","","","","","","","","",""
"USC00041428","1929","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","852.6","","852.6","6","","","","","","","","","0","6","16","6","0","6","215","6","80","6","-3.3","6,0208,+","","","","","","","42.8","6,0624,","","","-0.6","6,1228","-2.2","6,1231","","","","","-1.1","6,0409","-3.3","6,0208","","","","","","","","","","","","","16.94","6","23.98","6","9.90","6","",""
"USC00041428","1930","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","730.0","","730.0","6","","","","","","","","","0","6","13","6","0","6","229","6","79","6","-1.7","6,0111,+","","","","","","","42.8","6,0715,","","","0.0","6,1220","","","","","","","-0.6","6,0113","","","","","","","1186.8","","1186.8","6","","","","","16.71","6","24.19","6","9.24","6","",""
"USC00041428","1931","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","1001.0","","1001.0","6","","","","","","","","","0","6","8","6","0","6","225","6","98","6","-1.1","6,1212,","","","","","","","46.1","6,0726,","","","0.0","6,1122","","","","","","","0.0","6,0220","","","","","","","1180.8","","1180.8","6","","","","","17.38","6","24.84","6","9.92","6","",""
"USC00041428","1932","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","913.2","","913.2","6","","","","","","","","","0","6","24","6","0","6","225","6","94","6","-8.3","6,1212,","","","","","","","43.3","6,0709,","","","-2.8","6,1209","-2.8","6,1209","-6.1","6,1210","-8.3","6,1212","-1.1","6,0218","-2.2","6,0217","","","","","1575.9","","1575.9","6","","","","","16.82","6","24.15","6","9.49","6","",""
"USC00041428","1933","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","931.5","","931.5","6","","","","","","","","","0","6","16","6","0","6","209","6","88","6","-3.3","6,0210,+","","","","","","","46.1","6,0814,","","","0.0","6,1222","","","","","","","0.0","6,0418","-2.2","6,0211","","","","","1640.9","","1640.9","6","","","","","16.44","6","23.73","6","9.14","6","",""
"USC00041428","1934","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","979.0","","979.0","6","","","","","","","","","0","6","3","6","0","6","240","6","110","6","-1.1","6,0109,","","","","","","","43.9","6,0819,","","","","","","","","","","","-0.6","6,0110","","","","","","","1074.5","","1074.5","6","","","","","17.90","6","25.46","6","10.35","6","",""
"USC00041428","1935","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","907.3","","907.3","6","","","","","","","","","0","6","7","6","0","6","200","6","97","6","-3.3","6,0119,","","","","","","","43.9","6,0811,","","","","","","","","","","","0.0","6,0308","-3.3","6,0119","","","","","1470.6","","1470.6","6","","","","","16.66","6","23.98","6","9.35","6","",""
"USC00041428","1936","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","1081.1","","1081.1","6","","","","","","","","","0","6","1","6","0","6","229","6","106","6","0.0","6,0326,","","","","","","","43.9","6,0719,","","","","","","","","","","","0.0","6,0326","","","","","","","1304.3","","1304.3","6","","","","","17.76","6","24.98","6","10.54","6","",""
