"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00042088","1922","34.06667","-117.86667","182.9","COVINA, CA US","660.7","","660.7","6","55","6","34","6","","","0","6","5","6","0","6","231","6","60","6","-3.9","6,0120,","","","95.5",",6,1213,","41.7","6,0917,","","","","","","","0.0","6,0312","-2.2","6,0121","","","","","633.1",",6","","","16.90","6","23.95","6","9.85","6"
"USC00042088","1923","34.06667","-117.86667","182.9","COVINA, CA US","466.6","","466.6","6","43","6","25","6","","","0","6","5","6","0","6","262","6","34","6","-1.1","6,1222,","","","26.4",",6,0130,","37.2","6,0908,","0.0","6,1212","","","","","0.0","6,0203","","","997.0","","997.0","6","278.6",",6","","","16.96","6","24.16","6","9.75","6"
"USC00042088","1924","34.06667","-117.86667","182.9","COVINA, CA US","455.3","","455.3","6","39","6","24","6","","","0","6","18","6","0","6","292","6","54","6","-4.4","6,1225,","","","42.7",",6,0326,","40.6","6,0516,","-1.1","6,1217","-2.2","6,1219","-4.4","6,1225","-1.1","6,0322","-2.2","6,0124","869.5","","869.5","6","348.6",",6","","","16.75","6","25.68","6","7.82","6"
"USC00042088","1925","34.06667","-117.86667","182.9","COVINA, CA US","372.6","","372.6","6","44","6","20","6","","","0","6","18","6","0","6","269","6","28","6","-2.8","6,0116,+","","","56.9",",6,1202,","40.0","6,0717,","0.0","6,1117","","","","","0.0","6,0313","-2.8","6,0116","1163.4","","1163.4","6","293.6",",6","","","16.37","6","24.42","6","8.32","6"
"USC00042088","1926","34.06667","-117.86667","182.9","COVINA, CA US","414.4","","414.4","6","47","6","24","6","","","0","6","17","6","0","6","264","6","28","6","-3.3","6,0121,","","","112.3",",6,0405,","38.9","6,0824,","0.0","6,1215","-2.2","6,1226","","","-1.1","6,0128","-3.3","6,0121","946.2","","946.2","6","618.3",",6","","","16.87","6","24.36","6","9.37","6"
"USC00042088","1927","34.06667","-117.86667","182.9","COVINA, CA US","385.1","","385.1","6","55","6","33","6","","","0","6","11","6","0","6","220","6","36","6","-1.7","6,1218,","","","94.2",",6,0216,","39.4","6,0718,","-0.6","6,1209","","","","","-1.1","6,0202","","","1248.9","","1248.9","6","614.2",",6","","","15.82","6","22.98","6","8.66","6"
"USC00042088","1943","34.06667","-117.86667","182.9","COVINA, CA US","634.6","","634.6","6","44","6","33","6","","","0","6","2","6","0","6","265","6","45","6","-2.2","6,0120,","","","123.2",",6,0123,","42.2","6,0922,","","","","","","","-2.2","6,0120","-2.2","6,0120","","","","","759.4",",6","","","18.22","6","25.19","6","11.25","6"
"USC00042088","1944","34.06667","-117.86667","182.9","COVINA, CA US","415.2","","415.2","6","44","6","23","6","","","0","6","0","6","0","6","244","6","29","6","1.1","6,0216,","","","101.6",",6,0222,","42.8","6,0923,","","","","","","","","","","","884.8","","884.8","6","516.9",",6","","","16.93","6","23.75","6","10.10","6"
"USC00042088","1945","34.06667","-117.86667","182.9","COVINA, CA US","648.9","","648.9","6","43","6","24","6","","","0","6","1","6","0","6","246","6","52","6","0.0","6,0120,","","","99.1",",6,1222,","39.4","6,0903,","","","","","","","0.0","6,0120","","","918.1","","918.1","6","401.6",",6","","","17.56","6","24.31","6","10.80","6"
"USC00042088","1946","34.06667","-117.86667","182.9","COVINA, CA US","637.0","","637.0","6","36","6","26","6","0","6","0","6","1","6","0","6","250","6","59","6","0.0","6,0212,","0",",6,1231,+","60.5",",6,0330,","38.9","6,0913,","","","","","","","0.0","6,0212","","","816.5","","816.5","6","417.9",",6","0",",6","17.45","6","24.94","6","9.97","6"
"USC00042088","1947","34.06667","-117.86667","182.9","COVINA, CA US","637.9","","637.9","6","30","6","11","6","","","0","6","3","6","0","6","273","6","65","6","-1.1","6,0116,","","","45.2",",6,1205,","42.2","6,0901,+","-0.6","6,1231","","","","","-0.6","6,0117","","","817.8","","817.8","6","172.2",",6","","","17.91","6","25.73","6","10.09","6"
"USC00042088","1948","34.06667","-117.86667","182.9","COVINA, CA US","454.0","","454.0","0","28","0","18","0","0","0","0","0","8","0","0","0","267","0","39","0","-1.7","0,1224,","0",",0,1231,+","40.6",",0,1217,","41.1","0,0910,","0.0","0,1204","","","","","-0.6","6,0212","","","1002.2","","1002.2","0","273.2",",0","0",",0","16.82","0","24.86","0","8.77","0"
