"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00042362","1911","36.6","-121.86667","13.7","DEL MONTE, CA US","29.6","","29.6","6","50","6","43","6","","","0","6","4","6","0","6","89","6","0","6","-0.6","6,0216,","","","48.8",",6,0307,","30.6","6,1016,","0.0","6,1225","","","","","-0.6","6,0216","","","","","","","","","","","582.4",",6","","","14.27","6","18.55","6","10.00","6"
"USC00042362","1912","36.6","-121.86667","13.7","DEL MONTE, CA US","41.9","","41.9","6","37","6","26","6","","","0","6","4","6","0","6","107","6","0","6","-1.7","6,1227,+","","","30.5",",6,0312,","31.7","6,0918,","-0.6","6,1225","","","","","0.0","6,0104","","","","","","","1270.6","","1270.6","6","249.5",",6","","","14.95","6","19.04","6","10.86","6"
"USC00042362","1913","36.6","-121.86667","13.7","DEL MONTE, CA US","66.2","","66.2","6","34","6","30","6","","","0","6","8","6","0","6","104","6","1","6","-6.7","6,0106,","","","24.9",",6,0115,","32.2","6,0916,","","","","","","","-1.1","6,0203","-5.0","6,0107","-5.0","6,0107","-6.7","6,0106","1553.0","","1553.0","6","273.3",",6","","","14.27","6","18.58","6","9.96","6"
"USC00042362","1914","36.6","-121.86667","13.7","DEL MONTE, CA US","21.6","","21.6","6","45","6","38","6","","","0","6","0","6","0","6","57","6","0","6","1.1","6,1214,+","","","49.3",",6,0220,","28.9","6,0317,","","","","","","","","","","","","","","","1315.9","","1315.9","6","564.5",",6","","","14.47","6","18.23","6","10.71","6"
"USC00042362","1915","36.6","-121.86667","13.7","DEL MONTE, CA US","14.5","","14.5","6","","","","","","","0","6","4","6","0","6","78","6","0","6","-4.4","6,1231,","","","","","28.9","6,1028,","0.0","6,1113","-4.4","6,1231","-4.4","6,1231","","","","","","","","","1465.7","","1465.7","6","","","","","14.40","6","18.51","6","10.28","6"
"USC00042362","1916","36.6","-121.86667","13.7","DEL MONTE, CA US","13.2","","13.2","6","","","","","","","0","6","22","6","0","6","101","6","0","6","-3.3","6,1208,+","","","","","30.6","6,0217,","-1.1","6,1112","-3.3","6,1114","","","-0.6","6,0201","","","","","","","1512.0","","1512.0","6","","","","","13.54","6","18.35","6","8.73","6"
"USC00042362","1917","36.6","-121.86667","13.7","DEL MONTE, CA US","20.2","","20.2","6","","","","","","","0","6","12","6","0","6","72","6","1","6","-3.9","6,0117,","","","","","33.3","6,1003,","","","","","","","0.0","6,0327","-3.3","6,0118","","","","","2219.1","","2219.1","6","","","","","12.93","6","17.88","6","7.98","6"
"USC00042362","1918","36.6","-121.86667","13.7","DEL MONTE, CA US","36.3","","36.3","6","","","","","","","0","6","7","6","0","6","121","6","0","6","-1.1","6,1231,+","","","","","28.9","6,0329,","0.0","6,1227","","","","","-1.1","6,0217","","","","","","","1560.3","","1560.3","6","","","","","14.35","6","19.07","6","9.64","6"
"USC00042362","1919","36.6","-121.86667","13.7","DEL MONTE, CA US","15.4","","15.4","6","","","","","","","0","6","8","6","0","6","99","6","0","6","-2.2","6,1213,","","","","","31.1","6,0911,","-1.1","6,1128","-2.2","6,1213","","","0.0","6,0107","","","","","","","1471.8","","1471.8","6","","","","","13.96","6","19.01","6","8.90","6"
"USC00042362","1920","36.6","-121.86667","13.7","DEL MONTE, CA US","7.7","","7.7","6","","","","","","","0","6","9","6","0","6","77","6","0","6","-2.2","6,0229,+","","","","","27.8","6,0923,","0.0","6,1206","","","","","-2.2","6,0229","-2.2","6,0229","","","","","1661.9","","1661.9","6","","","","","13.33","6","18.27","6","8.38","6"
