"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00045629","1908","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","44","6","29","6","","","","","","","","","","","","","","","","","","","","","56.6",",6,0924,","","","","","","","","","","","","","","","","","","","570.5",",6","","","","","","","",""
"USC00045629","1911","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","55","6","45","6","","","","","","","","","","","","","","","","","","","","","48.3",",6,0128,","","","","","","","","","","","","","","","","","","","687.6",",6","","","","","","","",""
"USC00045629","1912","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","48","6","37","6","","","","","","","","","","","","","","","","","","","","","48.5",",6,0411,","","","","","","","","","","","","","","","","","","","502.7",",6","","","","","","","",""
"USC00045629","1913","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","59","6","43","6","","","","","","","","","","","","","","","","","","","","","41.7",",6,1119,","","","","","","","","","","","","","","","","","","","480.5",",6","","","","","","","",""
"USC00045629","1916","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","54","6","41","6","","","","","","","","","","","","","","","","","","","","","102.9",",6,0127,","","","","","","","","","","","","","","","","","","","745.2",",6","","","","","","","",""
"USC00045629","1925","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","50","6","33","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,1004,","","","","","","","","","","","","","","","","","","","473.3",",6","","","","","","","",""
"USC00045629","1926","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","62","6","38","6","","","","","","","","","","","","","","","","","","","","","77.2",",6,0405,","","","","","","","","","","","","","","","","","","","659.5",",6","","","","","","","",""
"USC00045629","1927","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","55","6","36","6","","","","","","","","","","","","","","","","","","","","","125.2",",6,0216,","","","","","","","","","","","","","","","","","","","733.4",",6","","","","","","","",""
"USC00045629","1928","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","33","6","24","6","","","","","","","","","","","","","","","","","","","","","76.5",",6,0204,","","","","","","","","","","","","","","","","","","","429.6",",6","","","","","","","",""
"USC00045629","1929","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","35","6","21","6","","","","","","","","","","","","","","","","","","","","","72.4",",6,0404,","","","","","","","","","","","","","","","","","","","344.7",",6","","","","","","","",""
"USC00045629","1930","34.08333","-117.03333","897.0","MILL CREEK 2, CA US","","","","","51","6","37","6","","","","","","","","","","","","","","","","","","","","","56.6",",6,1009,","","","","","","","","","","","","","","","","","","","657.0",",6","","","","","","","",""
