"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00046197","1915","33.2775","-115.5239","-18.3","NILAND, CA US","3072.7","","3072.7","6","","","","","","","","","0","6","2","6","0","6","339","6","204","6","0.0","6,1220,+","","","","","","","53.9","6,0823,","0.0","6,1217","","","","","25.95","6","32.38","6","19.52","6"
"USC00046197","1943","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","7","6","5","6","","","","","","","","","","","","","","","","","","","","","26.7",",6,1211,","","","","","70.6",",6","","","","","","","",""
"USC00046197","1944","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","10","6","10","6","","","","","","","","","","","","","","","","","","","","","22.9",",6,0224,","","","","","95.2",",6","","","","","","","",""
"USC00046197","1945","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","11","6","10","6","","","","","","","","","","","","","","","","","","","","","32.8",",6,1223,","","","","","118.9",",6","","","","","","","",""
"USC00046197","1946","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","4","6","4","6","","","0","6","","","","","","","","","","","","","","","0",",6,1231,+","5.8",",6,1227,","","","","","16.0",",6","0",",6","","","","","",""
"USC00046197","1947","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","3","6","3","6","","","","","","","","","","","","","","","","","","","","","27.2",",6,0810,","","","","","38.9",",6","","","","","","","",""
"USC00046197","1948","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","2","0","2","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","23.6",",0,1018,","","","","","27.9",",0","0",",0","","","","","",""
"USC00046197","1949","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","5","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","25.9",",0,0113,","","","","","54.1",",0","0",",0","","","","","",""
"USC00046197","1951","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","11","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.6",",0,0829,","","","","","67.8",",0","0",",0","","","","","",""
"USC00046197","1952","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","0","7","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0723,","26.2",",0,1108,","","","","","74.9",",0","0","T,0","","","","","",""
"USC00046197","1953","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","1","0","0","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","0.5",",0,0224,","","","","","0.5",",0","0",",0","","","","","",""
"USC00046197","1954","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","5","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","15.0",",0,0323,","","","","","39.7",",0","0",",0","","","","","",""
"USC00046197","1955","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","6","0","3","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","12.7",",0,0103,","","","","","22.0",",0","0",",0","","","","","",""
"USC00046197","1956","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","1","0","0","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","2.0",",0,1001,","","","","","2.0",",0","0",",0","","","","","",""
"USC00046197","1957","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","8","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","16.0",",0,1028,","","","","","41.1",",0","0",",0","","","","","",""
"USC00046197","1958","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","13","0","7","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","16.0",",0,0204,","","","","","57.5",",0","0",",0","","","","","",""
