"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00046610","1949","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","33","0","30","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","22.9",",0,1110,","","","","","","","","","","","","","","","","","271.5",",0","0",",0","","","","","",""
"USC00046610","1950","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","50","0","41","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","97.5",",0,1119,","","","","","","","","","","","","","","","","","606.7",",0","0",",0","","","","","",""
"USC00046610","1951","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","40","0","36","0","1","","1","0","","","","","","","","","","","","","25",",0,0301,","25",",0,0301,","41.9",",0,1229,","","","","","","","","","","","","","","","","","413.1",",0","25",",0","","","","","",""
"USC00046610","1952","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","47","0","44","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.1",",0,1207,","","","","","","","","","","","","","","","","","508.6",",0","0",",0","","","","","",""
"USC00046610","1953","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","25","0","20","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","28.4",",0,0427,","","","","","","","","","","","","","","","","","194.7",",0","0",",0","","","","","",""
"USC00046610","1954","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","42","0","34","0","0","","1","0","","","","","","","","","","","","","0",",0,1231,+","25",",0,0316,","35.6",",0,0214,","","","","","","","","","","","","","","","","","360.6",",0","25",",0","","","","","",""
"USC00046610","1955","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","45","0","39","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","142.2",",0,1223,","","","","","","","","","","","","","","","","","625.5",",0","0",",0","","","","","",""
"USC00046610","1956","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","45","0","35","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","38.6",",0,0125,","","","","","","","","","","","","","","","","","259.9",",0","0",",0","","","","","",""
"USC00046610","1957","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","50","0","44","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","32.3",",0,1011,","","","","","","","","","","","","","","","","","405.1",",0","0",",0","","","","","",""
"USC00046610","1958","36.715","-121.34917","275.8","PAICINES 4 W, CA US","","","","","50","0","42","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","55.9",",0,0403,","","","","","","","","","","","","","","","","","523.8",",0","0",",0","","","","","",""
