"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047689","1944","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","324.3","","324.3","6","92","6","61","6","","","","","0","6","89","6","0","6","150","6","17","6","-5.6","6,0315,+","","","","","87.4",",6,1110,","35.6","6,0908,+","16910.0","6","-0.6","6,1108","-2.2","6,1124","-4.4","6,1230","","","","","0.0","6,0516","-2.2","6,0425","-4.4","6,0421","","","","","","","","","1174.5",",6","","","12.40","6","19.08","6","5.72","6"
"USC00047689","1945","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","421.8","","421.8","6","100","6","78","6","","","","","0","6","92","6","0","6","154","6","25","6","-7.2","6,0228,","","","","","80.5",",6,1221,+","37.2","6,0912,","16802.8","6","-1.7","6,1107","-3.3","6,1108","-6.1","6,1212","","","","","0.0","6,0426","-4.4","6,0410","-4.4","6,0410","-7.2","6,0228","","","2435.8","","2435.8","6","1536.3",",6","","","12.44","6","18.81","6","6.07","6"
"USC00047689","1946","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","302.8","","302.8","6","72","6","47","6","","","","","0","6","84","6","0","6","163","6","10","6","-7.8","6,0211,","","","","","116.6",",6,1119,","35.0","6,0803,","","","0.0","6,1018","-2.8","6,1029","","","","","","","0.0","6,0410","-3.3","6,0403","-5.0","6,0314","-7.8","6,0211","","","2446.9","","2446.9","6","867.6",",6","","","12.40","6","19.14","6","5.66","6"
"USC00047689","1947","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","320.4","","320.4","6","66","6","43","6","","","8","6","0","6","73","6","0","6","165","6","16","6","-8.3","6,0115,","","","229",",6,0128,","49.3",",6,0212,","34.4","6,0719,","","","-0.6","6,1101","-2.2","6,1106","-4.4","6,1208","","","","","-0.6","6,0405","-2.2","6,0404","-4.4","6,0131","-8.3","6,0115","","","2204.9","","2204.9","6","672.2",",6","712",",6","13.07","6","19.97","6","6.16","6"
"USC00047689","1948","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","274.9","","274.9","0","93","0","70","0","","","33","0","0","0","109","0","1","0","148","0","12","0","-8.9","0,0208,+","","","419",",0,0205,","75.7",",0,0324,","35.0","0,0910,","","","-2.8","0,1030","-2.8","0,1030","-5.0","0,1127","-6.7","0,1216","","","-1.1","6,0509","-4.4","6,0429","-4.4","6,0429","-7.2","6,0320","-8.9","6,0208","2715.6","","2715.6","0","1101.4",",0","4012",",0","11.53","0","18.29","0","4.77","0"
"USC00047689","1949","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","503.9","","503.9","0","73","0","50","0","75","","21","0","0","0","71","0","2","0","199","0","29","0","-10.0","0,1220,","711",",0,0211,","356",",0,0211,+","56.6",",0,0303,","35.0","0,0716,","","","0.0","0,1018","-5.0","0,1210","-5.0","0,1210","-6.7","0,1211","-10.0","0,1220","-0.6","0,0330","-2.2","0,0306","-7.8","0,0214","-7.8","0,0214","-8.9","0,0104","2538.1","","2538.1","0","804.5",",0","3104",",0","13.73","0","20.27","0","7.20","0"
"USC00047689","1950","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","590.7","","590.7","0","81","0","69","0","","","18","0","0","0","47","0","0","0","189","0","40","0","-12.2","0,0103,","","","406",",0,0111,","136.1",",0,1203,","37.8","0,0903,+","","","0.0","0,1115","-2.8","0,1231","","","","","","","-0.6","0,0504","-2.2","0,0325","-4.4","0,0312","-7.8","0,0131","-10.0","0,0125","2015.2","","2015.2","0","1806.9",",0","3354",",0","14.53","0","20.88","0","8.18","0"
"USC00047689","1951","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","609.4","","609.4","0","73","0","51","0","","","","","0","0","59","0","0","0","181","0","35","0","-7.2","0,0303,","","","","","73.2",",0,1228,","35.6","0,0915,+","","","-1.1","0,1122","-2.2","0,1124","-4.4","0,1220","-6.7","0,1231","","","-1.1","0,0430","-7.2","0,0303","-7.2","0,0303","-7.2","0,0303","","","1882.0","","1882.0","0","1283.6",",0","","","14.17","0","20.40","0","7.93","0"
"USC00047689","1952","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","585.0","","585.0","0","89","0","72","0","77","","35","0","0","0","84","0","0","0","180","0","33","0","-6.7","0,0320,","813",",0,0116,","381",",0,0319,","74.2",",0,0112,","35.6","0,0901,","","","-1.1","0,1116","-3.3","0,1125","","","","","","","-1.7","0,0414","-2.2","0,0323","-6.7","0,0320","-6.7","0,0320","","","2370.5","","2370.5","0","1314.5",",0","4646",",0","13.64","0","19.77","0","7.51","0"
"USC00047689","1953","38.50056","-120.21889","1127.8","SALT SPRINGS PH, CA US","472.0","","472.0","0","89","0","57","0","7","","9","0","0","0","48","0","0","0","157","0","33","0","-4.4","0,0302,","102",",0,0320,+","178",",0,0320,","63.8",",0,0427,","37.8","0,0708,","","","0.0","0,1117","","","","","","","","","0.0","0,0524","-3.3","0,0411","-4.4","0,0302","","","","","2107.3","","2107.3","0","904.9",",0","899",",0","14.01","0","20.59","0","7.43","0"
