"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047716","1893","36.03333","-120.9","136.9","SAN ARDO, CA US","243.9","","243.9","6","","","","","","","","","0","6","38","6","0","6","230","6","67","6","-3.3","6,1119,+","","","","","","","43.9","6,0731,","0.0","6,1019","-3.3","6,1118","0.0","6,0425","-2.2","6,0309","","","","","14.55","6","24.22","6","4.87","6"
"USC00047716","1960","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","41","0","23","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.7",",0,0110,","","","","","","","","","","","259.6",",0","0",",0","","","","","",""
"USC00047716","1961","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","26","0","13","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","48.3",",0,0126,","","","","","","","","","","","224.2",",0","0",",0","","","","","",""
"USC00047716","1962","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","34","0","16","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0122,","40.6",",0,1216,","","","","","","","","","","","268.0",",0","0","T,0","","","","","",""
"USC00047716","1963","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","37","0","19","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","51.3",",0,0210,","","","","","","","","","","","393.8",",0","0",",0","","","","","",""
"USC00047716","1964","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","39","0","18","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","31.0",",0,1029,","","","","","","","","","","","210.3",",0","0",",0","","","","","",""
"USC00047716","1965","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","47","0","25","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.9",",0,1123,","","","","","","","","","","","372.9",",0","0",",0","","","","","",""
"USC00047716","1966","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","27","0","13","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","47.0",",0,1206,","","","","","","","","","","","209.5",",0","0",",0","","","","","",""
"USC00047716","1969","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","35","0","31","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","55.9",",0,0121,","","","","","","","","","","","618.2",",0","0",",0","","","","","",""
"USC00047716","1970","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","41","0","25","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","41.9",",0,0301,","","","","","","","","","","","331.1",",0","0",",0","","","","","",""
"USC00047716","1971","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","21","0","11","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","23.9",",0,0414,","","","","","","","","","","","137.0",",0","0",",0","","","","","",""
"USC00047716","1972","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","32","0","18","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","34.8",",0,1114,","","","","","","","","","","","184.9",",0","0",",0","","","","","",""
"USC00047716","1973","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","45","0","34","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","29.7",",0,0320,","","","","","","","","","","","428.9",",0","0",",0","","","","","",""
"USC00047716","1974","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","36","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","38.4",",0,0104,","","","","","","","","","","","355.9",",0","0",",0","","","","","",""
"USC00047716","1975","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","28","0","23","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","38.1",",0,0202,","","","","","","","","","","","240.9",",0","0",",0","","","","","",""
"USC00047716","1976","36.03333","-120.9","136.9","SAN ARDO, CA US","","","","","28","0","23","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","44.7",",0,1001,","","","","","","","","","","","320.4",",0","0",",0","","","","","",""
