"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00047926","1942","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","19","6","16","6","27.9",",6,0315,","185.5",",6"
"USC00047926","1944","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","31","6","25","6","56.9",",6,0223,","449.2",",6"
"USC00047926","1945","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","40","6","26","6","121.9",",6,1222,","451.0",",6"
"USC00047926","1946","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","37","6","30","6","64.5",",6,1226,","480.1",",6"
"USC00047926","1947","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","26","6","14","6","31.8",",6,1205,","142.7",",6"
"USC00047926","1948","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","25","0","23","0","25.4",",0,0325,","240.0",",0"
"USC00047926","1949","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","36","0","25","0","49.0",",0,1219,","310.4",",0"
"USC00047926","1950","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","21","0","14","0","38.6",",0,0206,","225.7",",0"
"USC00047926","1951","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","32","0","26","0","75.7",",0,1230,","388.9",",0"
"USC00047926","1952","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","41","0","29","0","85.9",",0,0118,","682.3",",0"
"USC00047926","1953","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","17","0","12","0","21.6",",0,1115,","116.1",",0"
"USC00047926","1954","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","25","0","19","0","73.7",",0,0214,","375.1",",0"
"USC00047926","1955","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","31","0","23","0","39.9",",0,0119,","306.4",",0"
"USC00047926","1956","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","21","0","14","0","121.4",",0,0127,","346.8",",0"
"USC00047926","1957","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","44","0","32","0","55.4",",0,0113,","463.2",",0"
"USC00047926","1958","34.1125","-117.9694","135.0","SANTA FE DAM, CA US","34","0","24","0","65.5",",0,0316,","535.0",",0"
