"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049001","1956","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","40","0","26","0","0","","0","0","","","","","0","0","217","0","70","0","","","0",",0,1231,+","0",",0,1231,+","20.3",",0,0114,","43.3","0,0628,","2504.7","0","","","","","","","","","","","","","","","","","","","","","","","194.6",",0","0",",0","","","23.73","0","","","83875","0"
"USC00049001","1958","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","790.2","","790.2","0","56","0","35","0","0","","0","0","0","0","14","0","0","0","217","0","86","0","-3.3","0,1117,","0",",0,1231,+","0",",0,1231,+","25.1",",0,0402,","40.6","0,0906,","2424.6","0","-3.3","0,1117","-3.3","0,1117","","","","","0.0","0,0312","-2.2","0,0122","","","","","","","","","","","412.4",",0","0",",0","16.96","0","24.21","0","9.71","0","67860","0"
"USC00049001","1959","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","830.6","","830.6","0","28","0","18","0","0","","0","0","0","0","19","0","0","0","256","0","82","0","-5.0","0,0104,","0",",0,1231,+","0",",0,1231,+","62.2",",0,0918,","42.8","0,0711,","2855.4","0","0.0","0,1115","-4.4","0,1207","-4.4","0,1207","","","-5.0","0,0104","-5.0","0,0104","-5.0","0,0104","1115.3","","1115.3","0","","","","","234.5",",0","0",",0","17.26","0","24.96","0","9.56","0","80977","0"
"USC00049001","1960","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","818.0","","818.0","0","49","0","23","0","0","","0","0","0","0","21","0","0","0","205","0","84","0","-5.6","0,1229,","0",",0,1231,+","0",",0,1231,+","24.4",",0,1126,","43.3","0,0719,+","2665.7","0","0.0","0,1206","-3.3","0,1208","-5.6","0,1229","","","0.0","0,0224","-2.8","0,0117","-5.0","0,0105","1332.4","","1332.4","0","","","","","224.2",",0","0",",0","16.77","0","23.95","0","9.59","0","78361","0"
"USC00049001","1961","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","40","0","21","0","0","","0","0","","","","","0","0","201","0","76","0","","","0",",0,1231,+","0",",0,1231,+","32.0",",0,1120,","44.4","0,0711,+","2667.6","0","","","","","","","","","","","","","","","","","","","","","","","224.4",",0","0",",0","","","22.93","0","","","83068","0"
"USC00049001","1962","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","38","0","25","0","0","","0","0","","","","","0","0","210","0","71","0","","","0",",0,1231,+","0",",0,1231,+","69.9",",0,1013,","41.1","0,0620,","2388.0","0","","","","","","","","","","","","","","","","","","","","","","","305.1",",0","0",",0","","","22.94","0","","","",""
"USC00049001","1963","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","49","0","32","0","0","","0","0","","","","","0","0","195","0","62","0","","","0",",0,1231,+","0",",0,1231,+","32.8",",0,1119,","39.4","0,0617,","","","","","","","","","","","","","","","","","","","","","","","","","328.6",",0","0",",0","","","22.09","0","","","68443","0"
"USC00049001","1964","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","644.1","","644.1","0","61","0","34","0","0","","0","0","0","0","20","0","0","0","203","0","61","0","-3.3","0,1213,+","0",",0,1231,+","0",",0,1231,+","32.5",",0,0608,","41.7","0,0711,","2694.7","0","-0.6","0,1116","-3.3","0,1119","","","","","-0.6","0,0307","-2.8","0,0112","","","1550.2","","1550.2","0","","","","","290.9",",0","0",",0","16.15","0","23.05","0","9.25","0","83420","0"
"USC00049001","1965","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","556.4","","556.4","0","59","0","31","0","0","","0","0","0","0","19","0","0","0","200","0","53","0","-5.6","0,1218,","0",",0,1231,+","0",",0,1231,+","16.5",",0,1228,","39.4","0,0801,","2423.1","0","-0.6","0,1211","-2.2","0,1215","-5.6","0,1218","","","0.0","0,0224","-2.8","0,0101","","","1433.0","","1433.0","0","","","","","267.9",",0","0",",0","15.67","0","22.29","0","9.05","0","74517","0"
"USC00049001","1966","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","738.2","","738.2","0","44","0","23","0","0","","0","0","0","0","26","0","0","0","220","0","74","0","-5.0","0,0118,","0",",0,1231,+","0",",0,1231,+","20.1",",0,1205,","42.8","0,0614,","2671.3","0","0.0","0,1125","-2.8","0,1228","","","","","-3.9","0,0304","-3.9","0,0304","-5.0","0,0118","1443.5","","1443.5","0","","","","","232.5",",0","0",",0","16.51","0","23.68","0","9.33","0","",""
