"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049604","1893","39.016667","-121.433333","25.6","WHEATLAND, CA US","619.0","","619.0","6","58","6","35","6","0","6","11","6","0","6","191","6","69","6","-3.3","6,0311,","32.5",",6,0311,","42.8","6,0731,","-0.6","6,1119","","","","","-3.3","6,0311","-3.3","6,0311","","","","","","","","","444.9",",6","15.28","6","22.16","6","8.39","6"
"USC00049604","1894","39.016667","-121.433333","25.6","WHEATLAND, CA US","721.7","","721.7","6","","","","","0","6","20","6","0","6","219","6","85","6","-5.6","6,0118,","","","42.2","6,0827,+","0.0","6,1201","","","","","0.0","6,0320","-5.6","6,0118","-5.6","6,0118","","","1601.7","","1601.7","6","","","16.09","6","23.26","6","8.91","6"
"USC00049604","1895","39.016667","-121.433333","25.6","WHEATLAND, CA US","647.2","","647.2","6","","","","","0","6","19","6","0","6","198","6","72","6","-3.9","6,1229,","","","41.7","6,0623,+","-0.6","6,1104","-2.8","6,1125","","","-0.6","6,0130","","","","","","","1422.6","","1422.6","6","","","15.62","6","22.49","6","8.74","6"
"USC00049604","1896","39.016667","-121.433333","25.6","WHEATLAND, CA US","705.7","","705.7","6","","","","","0","6","16","6","0","6","173","6","71","6","-3.3","6,1129,","","","43.9","6,0709,","-0.6","6,1126","-3.3","6,1129","","","-1.7","6,0304","-2.8","6,0105","","","","","1749.2","","1749.2","6","","","15.69","6","22.28","6","9.10","6"
"USC00049604","1897","39.016667","-121.433333","25.6","WHEATLAND, CA US","726.8","","726.8","6","","","","","0","6","42","6","0","6","190","6","79","6","-3.3","6,1223,+","","","42.8","6,0713,","-0.6","6,1107","-2.2","6,1115","","","-0.6","6,0330","-2.2","6,0313","","","","","1684.5","","1684.5","6","","","15.28","6","22.22","6","8.34","6"
"USC00049604","1898","39.016667","-121.433333","25.6","WHEATLAND, CA US","692.0","","692.0","6","","","","","0","6","51","6","0","6","205","6","78","6","-4.4","6,1211,+","","","45.6","6,0812,","-0.6","6,1123","-3.9","6,1125","-4.4","6,1211","-1.7","6,0327","-3.3","6,0130","-4.4","6,0128","","","1827.1","","1827.1","6","","","15.37","6","23.08","6","7.65","6"
"USC00049604","1899","39.016667","-121.433333","25.6","WHEATLAND, CA US","572.6","","572.6","6","","","","","0","6","15","6","0","6","185","6","69","6","-4.4","6,0206,","","","41.1","6,0718,","0.0","6,1218","","","","","-1.1","6,0310","-2.2","6,0208","-4.4","6,0206","","","1700.7","","1700.7","6","","","15.29","6","22.35","6","8.23","6"
"USC00049604","1900","39.016667","-121.433333","25.6","WHEATLAND, CA US","517.9","","517.9","6","","","","","0","6","5","6","0","6","199","6","56","6","-3.9","6,1231,","","","39.4","6,0801,","0.0","6,1223","-3.9","6,1231","","","","","","","","","","","1580.5","","1580.5","6","","","15.48","6","22.10","6","8.87","6"
"USC00049604","1901","39.016667","-121.433333","25.6","WHEATLAND, CA US","599.4","","599.4","6","57","6","40","6","0","6","28","6","0","6","200","6","65","6","-5.0","6,0101,","73.9",",6,0429,","40.6","6,0811,+","0.0","6,1211","-3.3","6,1213","","","0.0","6,0407","-3.9","6,0110","-5.0","6,0101","","","1584.4","","1584.4","6","634.6",",6","15.54","6","22.62","6","8.47","6"
"USC00049604","1902","39.016667","-121.433333","25.6","WHEATLAND, CA US","472.4","","472.4","6","","","","","0","6","28","6","0","6","179","6","42","6","-3.3","6,0127,","","","43.9","6,0723,","0.0","6,1122","","","","","0.0","6,0314","-2.2","6,0131","","","","","1522.9","","1522.9","6","","","14.85","6","21.34","6","8.35","6"
