"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00050109","1905","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","","","","","73","6","56","6","","","","","","","","","","","","","","","","","","","","","55.9",",6,0310,","","","","","","","","","","","","","","","","","","","","","","","","","","","624.0",",6","","","","","","","","","",""
"USC00050109","1906","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","","","","","64","6","47","6","","","","","","","","","","","","","","","","","","","","","48.3",",6,1023,","","","","","","","","","","","","","","","","","","","","","","","","","","","483.3",",6","","","","","","","","","",""
"USC00050109","1907","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","","","","","44","6","39","6","","","","","","","","","","","","","","","","","","","","","94.5",",6,0803,","","","","","","","","","","","","","","","","","","","","","","","","","","","594.6",",6","","","","","","","","","",""
"USC00050109","1916","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","366.1","","366.1","6","","","","","","","","","29","6","179","6","46","6","154","6","39","6","-30.6","6,0112,","","","","","","","37.2","6,0629,","-1.1","6,0915","-5.0","6,1005","-5.0","6,1005","-7.2","6,1019","-8.9","6,1020","-1.1","6,0517","-2.8","6,0503","-7.8","6,0409","-7.8","6,0409","-11.7","6,0408","","","","","","","","","8.29","6","16.43","6","0.15","6","",""
"USC00050109","1917","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","277.7","","277.7","6","","","","","","","","","22","6","187","6","38","6","149","6","31","6","-28.3","6,0122,","","","","","","","37.2","6,0729,","-2.2","6,1008","-2.2","6,1008","-7.2","6,1018","-7.2","6,1018","-11.7","6,1023","0.0","6,0602","-3.9","6,0509","-6.1","6,0506","-6.7","6,0408","-8.9","6,0404","4182.7","","4182.7","6","","","","","8.11","6","16.25","6","-0.03","6","",""
"USC00050109","1918","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3661.3","","3661.3","0","","","","","","","","","","","",""
"USC00050109","1919","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","457.8","","457.8","0","73","0","44","0","","","15","0","17","0","176","0","46","0","141","0","52","0","-33.3","0,1209,","","","127",",0,1109,+","37.1",",0,0903,","38.9","0,0727,+","-3.3","0,1005","-3.3","0,1005","-5.0","0,1020","-9.4","0,1028","-9.4","0,1028","0.0","0,0605","-3.3","0,0417","-5.0","0,0410","-8.9","0,0409","-8.9","0,0409","","","","","395.3",",0","770",",0","8.41","0","15.60","0","1.22","0","",""
"USC00050109","1920","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","244.0","","244.0","0","73","0","51","0","","","15","0","10","0","187","0","42","0","138","0","15","0","-25.6","0,0307,","","","191",",0,0418,","47.5",",0,0726,","35.0","0,0812,+","-0.6","0,0926","-3.9","0,0929","-6.1","0,1024","-7.2","0,1027","-10.0","0,1102","-0.6","0,0516","-2.2","0,0427","-5.0","0,0426","-10.6","0,0412","-10.6","0,0412","4024.9","","4024.9","0","543.7",",0","1206",",0","8.25","0","15.55","0","0.96","0","",""
"USC00050109","1921","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","383.8","","383.8","0","","","","","","","","","2","0","170","0","26","0","165","0","44","0","-20.0","0,1224,","","","","","","","38.3","0,0703,","0.0","0,1002","-3.3","0,1011","-5.6","0,1109","-6.7","0,1118","-11.7","0,1119","-0.6","0,0508","-2.8","0,0503","-8.3","0,0417","-8.3","0,0417","-8.9","0,0410","3542.8","","3542.8","0","","","","","10.13","0","18.15","0","2.11","0","",""
"USC00050109","1922","40.155","-103.1416","1383.8","AKRON 4 E, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3596.3","","3596.3","","","","","","","","","","","","",""
