"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00080228","1901","27.21785","-81.8742","7.6","ARCADIA, FL US","1733.7","","1733.7","6","101","6","77","6","","","","","0","6","8","6","0","6","332","6","116","6","-3.3","6,1220,","","","","","108.0",",6,0613,","37.2","6,0810,","-1.7","6,1117","-3.3","6,1220","","","","","-0.6","6,0316","","","","","","","","","","","1394.4",",6","","","21.82","6","28.43","6","15.20","6"
"USC00080228","1902","27.21785","-81.8742","7.6","ARCADIA, FL US","1999.5","","1999.5","6","","","","","","","","","0","6","5","6","0","6","330","6","153","6","-3.9","6,0113,","","","","","","","38.3","6,0822,+","-1.7","6,1227","","","","","","","0.0","6,0211","-3.9","6,0113","","","","","469.9","","469.9","6","","","","","22.87","6","29.40","6","16.35","6"
"USC00080228","1905","27.21785","-81.8742","7.6","ARCADIA, FL US","1924.0","","1924.0","6","88","6","76","6","","","","","0","6","3","6","0","6","346","6","129","6","-5.0","6,0126,","","","","","81.3",",6,0713,","35.6","6,0918,+","","","","","","","","","-3.3","6,0128","-3.3","6,0128","-4.4","6,0127","","","","","","","1498.8",",6","","","22.98","6","29.17","6","16.79","6"
"USC00080228","1908","27.21785","-81.8742","7.6","ARCADIA, FL US","1909.2","","1909.2","6","139","6","93","6","","","","","0","6","6","6","0","6","349","6","147","6","-1.7","6,0125,","","","","","107.7",",6,0919,","38.3","6,0717,","","","","","","","","","0.0","6,0229","","","","","","","245.6","","245.6","6","1616.3",",6","","","22.91","6","29.74","6","16.08","6"
"USC00080228","1909","27.21785","-81.8742","7.6","ARCADIA, FL US","1791.5","","1791.5","6","","","","","","","","","0","6","4","6","0","6","352","6","121","6","-5.6","6,1231,","","","","","","","36.1","6,0618,+","0.0","6,1215","-3.3","6,1230","-5.6","6,1231","","","-2.8","6,0201","-2.8","6,0201","","","","","143.9","","143.9","6","","","","","22.66","6","29.29","6","16.04","6"
"USC00080228","1910","27.21785","-81.8742","7.6","ARCADIA, FL US","1532.9","","1532.9","6","135","6","86","6","","","","","0","6","8","6","0","6","336","6","118","6","-2.2","6,1204,+","","","","","120.7",",6,1018,","37.2","6,0604,","-2.2","6,1203","-2.2","6,1203","","","","","0.0","6,0214","-2.2","6,0101","","","","","316.8","","316.8","6","1362.0",",6","","","21.34","6","28.61","6","14.07","6"
"USC00080228","1911","27.21785","-81.8742","7.6","ARCADIA, FL US","2018.7","","2018.7","6","","","","","","","","","0","6","3","6","0","6","351","6","162","6","-2.2","6,0225,","","","","","","","37.2","6,0616,+","","","","","","","","","-2.2","6,0225","-2.2","6,0225","","","","","306.4","","306.4","6","","","","","23.51","6","30.39","6","16.62","6"
"USC00080228","1912","27.21785","-81.8742","7.6","ARCADIA, FL US","2165.4","","2165.4","6","","","","","","","","","0","6","2","6","0","6","340","6","136","6","-1.1","6,0209,","","","","","","","36.7","6,0531,","","","","","","","","","-1.1","6,0209","","","","","","","230.5","","230.5","6","","","","","23.65","6","28.92","6","18.39","6"
"USC00080228","1913","27.21785","-81.8742","7.6","ARCADIA, FL US","1939.2","","1939.2","6","","","","","","","","","0","6","0","6","0","6","349","6","112","6","3.3","6,0217,","","","","","","","36.7","6,0622,","","","","","","","","","","","","","","","","","87.9","","87.9","6","","","","","23.42","6","29.10","6","17.74","6"
"USC00080228","1914","27.21785","-81.8742","7.6","ARCADIA, FL US","1875.7","","1875.7","6","111","6","83","6","","","","","0","6","2","6","0","6","332","6","134","6","-1.1","6,1121,+","","","","","112.3",",6,0819,","36.7","6,0816,+","-1.1","6,1121","","","","","","","-1.1","6,0303","","","","","","","250.8","","250.8","6","1239.9",",6","","","22.71","6","28.87","6","16.55","6"
