"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00081276","1942","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","","","","","108","6","80","6","","","","","","","","","","","","","","","","","","","","","134.1",",6,0604,","","","","","","","","","","","","","","","1310.7",",6","","","","","","","",""
"USC00081276","1943","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","","","","","99","6","68","6","","","","","","","","","","","","","","","","","","","","","73.7",",6,0815,","","","","","","","","","","","","","","","1105.7",",6","","","","","","","",""
"USC00081276","1954","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1738.8","","1738.8","0","125","0","83","0","0","","0","0","0","0","0","0","0","0","333","0","82","0","1.1","0,1223,","0",",0,1231,+","0",",0,1231,+","97.8",",0,0619,","35.6","0,0811,+","","","","","","","","","170.9","","170.9","0","1453.2",",0","0",",0","22.49","0","28.05","0","16.92","0"
"USC00081276","1956","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1695.8","","1695.8","0","84","0","58","0","0","","0","0","0","0","0","0","0","0","331","0","79","0","1.1","0,1228,","0",",0,1231,+","0",",0,1231,+","81.3",",0,0720,","36.7","0,0716,","","","","","","","","","196.6","","196.6","0","1056.2",",0","0",",0","22.31","0","28.27","0","16.35","0"
"USC00081276","1957","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1797.1","","1797.1","0","129","0","93","0","0","","0","0","0","0","0","0","0","0","352","0","72","0","1.1","0,1212,","0",",0,1231,+","0",",0,1231,+","101.9",",0,0726,","35.0","0,0715,","","","","","","","","","156.4","","156.4","0","1776.1",",0","0",",0","22.91","0","28.41","0","17.42","0"
"USC00081276","1958","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1837.7","","1837.7","0","123","0","88","0","0","","0","0","0","0","1","0","0","0","310","0","98","0","0.0","0,0205,","0",",0,1231,+","0",",0,1231,+","81.8",",0,0512,","36.7","0,0619,","","","","","0.0","0,0205","","","363.1","","363.1","0","1617.6",",0","0",",0","22.37","0","27.67","0","17.07","0"
"USC00081276","1959","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1809.8","","1809.8","0","122","0","94","0","0","","0","0","0","0","0","0","0","0","337","0","71","0","1.7","0,0303,+","0",",0,1231,+","0",",0,1231,+","118.1",",0,0529,","35.0","0,0811,+","","","","","","","","","136.0","","136.0","0","1782.1",",0","0",",0","22.81","0","28.37","0","17.25","0"
"USC00081276","1960","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1762.5","","1762.5","0","116","0","85","0","0","","0","0","0","0","0","0","0","0","331","0","97","0","1.7","0,0209,","0",",0,1231,+","0",",0,1231,+","89.4",",0,0924,","35.6","0,0526,","","","","","","","","","251.0","","251.0","0","1360.2",",0","0",",0","22.47","0","28.37","0","16.56","0"
"USC00081276","1961","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217.9","","217.9","0","","","","","","","","","",""
"USC00081276","1963","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1682.0","","1682.0","0","97","0","65","0","0","","0","0","0","0","0","0","0","0","324","0","108","0","1.1","0,1226,","0",",0,1231,+","0",",0,1231,+","101.6",",0,1231,","35.0","0,0817,+","","","","","","","","","241.2","","241.2","0","1043.7",",0","0",",0","22.14","0","28.18","0","16.10","0"
"USC00081276","1964","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1777.6","","1777.6","0","111","0","84","0","0","","0","0","0","0","1","0","0","0","340","0","95","0","0.0","0,0115,","0",",0,1231,+","0",",0,1231,+","78.7",",0,1015,+","36.1","0,0608,","","","","","0.0","0,0115","","","284.4","","284.4","0","1530.7",",0","0",",0","22.74","0","28.53","0","16.94","0"
"USC00081276","1965","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1683.5","","1683.5","0","111","0","80","0","0","","0","0","0","0","0","0","0","0","347","0","80","0","1.1","0,0119,","0",",0,1231,+","0",",0,1231,+","63.8",",0,0829,","35.0","0,0705,","","","","","","","","","155.0","","155.0","0","1570.7",",0","0",",0","22.51","0","28.41","0","16.61","0"
"USC00081276","1966","26.8639","-80.6256","9.1","CANAL POINT USDA, FL US","1559.3","","1559.3","0","118","0","87","0","0","","0","0","0","0","2","0","0","0","333","0","63","0","-3.3","0,0131,","0",",0,1231,+","0",",0,1231,+","84.1",",0,0630,","34.4","0,0902,+","","","","","-3.3","0,0131","-3.3","0,0131","192.5","","192.5","0","1444.4",",0","0",",0","21.94","0","27.46","0","16.41","0"
