"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00081310","1940","26.53333","-82.18333",,"CAPTIVA, FL US","1971.0","","1971.0","6","86","6","66","6","","","","","0","6","0","6","0","6","320","6","77","6","1.7","6,0128,","","","","","116.8",",6,0827,","35.0","6,0725,+","","","257.5","","257.5","6","1258.9",",6","","","23.01","6","27.02","6","18.99","6"
"USC00081310","1941","26.53333","-82.18333",,"CAPTIVA, FL US","2132.8","","2132.8","6","100","6","71","6","","","","","0","6","0","6","0","6","340","6","90","6","5.6","6,0120,","","","","","97.0",",6,0408,","34.4","6,0904,+","","","133.6","","133.6","6","1010.4",",6","","","23.80","6","27.72","6","19.87","6"
"USC00081310","1942","26.53333","-82.18333",,"CAPTIVA, FL US","2102.2","","2102.2","6","87","6","64","6","","","","","0","6","0","6","0","6","327","6","88","6","3.9","6,0111,","","","","","168.7",",6,0811,","35.0","6,0805,+","","","152.9","","152.9","6","1330.9",",6","","","23.59","6","27.69","6","19.49","6"
"USC00081310","1943","26.53333","-82.18333",,"CAPTIVA, FL US","2111.9","","2111.9","6","93","6","72","6","","","","","0","6","0","6","0","6","346","6","99","6","3.9","6,0215,","","","","","88.6",",6,1115,","35.6","6,0915,+","","","96.7","","96.7","6","1287.5",",6","","","23.73","6","28.17","6","19.30","6"
"USC00081310","1944","26.53333","-82.18333",,"CAPTIVA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.8","","108.8","6","","","","","","","","","",""
"USC00081310","1945","26.53333","-82.18333",,"CAPTIVA, FL US","2439.0","","2439.0","6","82","6","55","6","","","","","0","6","0","6","0","6","334","6","124","6","4.4","6,0102,+","","","","","146.6",",6,0824,","37.2","6,0914,","","","","","","","1039.4",",6","","","24.73","6","28.78","6","20.68","6"
"USC00081310","1946","26.53333","-82.18333",,"CAPTIVA, FL US","2465.9","","2465.9","6","96","6","64","6","","","","","0","6","0","6","0","6","357","6","110","6","8.9","6,0126,+","","","","","81.3",",6,1102,","35.0","6,0720,+","","","83.5","","83.5","6","1137.2",",6","","","24.98","6","29.11","6","20.85","6"
"USC00081310","1947","26.53333","-82.18333",,"CAPTIVA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.0","","111.0","6","","","","","","","","","",""
"USC00081310","1949","26.53333","-82.18333",,"CAPTIVA, FL US","2265.5","","2265.5","0","111","0","69","0","0","","0","0","0","0","0","0","0","0","359","0","85","0","7.2","0,1127,+","0","T,0,0515,","0","T,0,0515,","157.5",",0,0929,","36.1","0,0917,","","","25.3","","25.3","0","1401.5",",0","0","T,0","24.41","0","28.89","0","19.93","0"
"USC00081310","1950","26.53333","-82.18333",,"CAPTIVA, FL US","","","","","79","0","42","0","0","","0","0","0","0","0","0","","","","","","","4.4","0,1126,","0",",0,1231,+","0",",0,1231,+","59.7",",0,0904,","","","","","49.0","","49.0","0","574.9",",0","0",",0","","","","","19.56","0"
"USC00081310","1952","26.53333","-82.18333",,"CAPTIVA, FL US","2031.9","","2031.9","0","111","0","62","0","0","","0","0","0","0","0","0","0","0","324","0","106","0","4.4","0,1217,","0",",0,1231,+","0",",0,1231,+","49.5",",0,0805,","36.7","0,0816,","","","","","","","901.1",",0","0",",0","23.89","0","28.41","0","19.38","0"
"USC00081310","1953","26.53333","-82.18333",,"CAPTIVA, FL US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","102.4","","102.4","0","","","0",",0","","","","","",""
"USC00081310","1954","26.53333","-82.18333",,"CAPTIVA, FL US","2004.7","","2004.7","0","117","0","80","0","0","","0","0","0","0","0","0","0","0","328","0","92","0","6.1","0,1222,+","0",",0,1231,+","0",",0,1231,+","103.9",",0,0901,","35.0","0,0703,+","","","","","","","1528.8",",0","0",",0","23.64","0","28.19","0","19.08","0"
"USC00081310","1955","26.53333","-82.18333",,"CAPTIVA, FL US","1990.4","","1990.4","0","111","0","71","0","0","","0","0","0","0","0","0","0","0","334","0","78","0","2.8","0,0213,+","0",",0,1231,+","0",",0,1231,+","77.7",",0,0908,","34.4","0,0913,","","","161.1","","161.1","0","1042.8",",0","0",",0","23.54","0","27.97","0","19.11","0"
"USC00081310","1956","26.53333","-82.18333",,"CAPTIVA, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135.8","","135.8","0","","","","","","","","","",""
"USC00081310","1957","26.53333","-82.18333",,"CAPTIVA, FL US","2163.9","","2163.9","0","135","0","89","0","0","","0","0","0","0","0","0","0","0","341","0","72","0","1.1","0,1212,","0",",0,1231,+","0",",0,1231,+","102.4",",0,1003,","34.4","0,0830,+","","","","","","","1720.9",",0","0",",0","24.14","0","28.26","0","20.02","0"
"USC00081310","1958","26.53333","-82.18333",,"CAPTIVA, FL US","1996.0","","1996.0","0","121","0","73","0","0","","0","0","0","0","0","0","0","0","296","0","81","0","2.8","0,0214,+","0",",0,1231,+","0",",0,1231,+","115.1",",0,0811,","33.9","0,0916,+","","","350.6","","350.6","0","1512.5",",0","0",",0","22.93","0","26.78","0","19.08","0"
"USC00081310","1959","26.53333","-82.18333",,"CAPTIVA, FL US","2103.5","","2103.5","0","149","0","89","0","0","","0","0","0","0","0","0","0","0","330","0","53","0","3.9","0,1130,","0",",0,1231,+","0",",0,1231,+","86.1",",0,1018,","33.9","0,0820,+","","","133.4","","133.4","0","1537.9",",0","0",",0","23.71","0","27.59","0","19.84","0"
"USC00081310","1960","26.53333","-82.18333",,"CAPTIVA, FL US","2001.5","","2001.5","0","119","0","76","0","0","","0","0","0","0","0","0","0","0","315","0","61","0","3.9","0,1222,","0",",0,1231,+","0",",0,1231,+","65.5",",0,0825,","34.4","0,0803,","","","209.4","","209.4","0","1427.8",",0","0",",0","23.30","0","27.21","0","19.38","0"
"USC00081310","1961","26.53333","-82.18333",,"CAPTIVA, FL US","2113.7","","2113.7","0","83","0","57","0","0","","0","0","0","0","0","0","0","0","329","0","62","0","3.9","0,0122,","0",",0,1231,+","0",",0,1231,+","64.0",",0,0401,","33.9","0,0807,+","","","173.6","","173.6","0","867.7",",0","0",",0","23.79","0","27.87","0","19.71","0"
"USC00081310","1962","26.53333","-82.18333",,"CAPTIVA, FL US","1985.5","","1985.5","0","99","0","67","0","0","","0","0","0","0","1","0","0","0","323","0","74","0","-1.7","0,1213,","0",",0,1231,+","0",",0,1231,+","101.9",",0,1109,","35.0","0,0728,","-1.7","0,1213","104.2","","104.2","0","1377.9",",0","0",",0","23.41","0","27.43","0","19.39","0"
