"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00081654","1950","26.74222","-80.94","6.1","CLEWISTON, FL US","1873.3","","1873.3","0","91","0","48","0","0","","0","0","0","0","0","0","0","0","334","0","64","0","1.7","0,1220,","0",",0,1231,+","0",",0,1231,+","139.7",",0,1018,","36.1","0,0627,+","","","","","","","","","","","","","","","","","","","984.4",",0","0",",0","22.94","0","27.80","0","18.08","0","",""
"USC00081654","1951","26.74222","-80.94","6.1","CLEWISTON, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","291.6","","291.6","0","","","","","","","","","","","","","","","",""
"USC00081654","1952","26.74222","-80.94","6.1","CLEWISTON, FL US","","","","","122","0","78","0","","","","","","","","","","","","","","","","","","","","","72.4",",0,0628,","","","","","","","","","","","","","","","","","","","","","1320.9",",0","","","","","","","","","",""
"USC00081654","1953","26.74222","-80.94","6.1","CLEWISTON, FL US","2132.2","","2132.2","0","132","0","95","0","","","","","0","0","0","0","0","0","345","0","110","0","2.8","0,0105,","","","","","60.5",",0,1009,","35.6","0,0528,","1293.0","0","","","","","","","","","139.9","","139.9","0","","","","","1400.7",",0","","","23.87","0","28.97","0","18.78","0","",""
"USC00081654","1954","26.74222","-80.94","6.1","CLEWISTON, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.5","","149.5","","","","","","","","","","","","","","","","",""
"USC00081654","1958","26.74222","-80.94","6.1","CLEWISTON, FL US","1998.4","","1998.4","0","121","0","91","0","0","","0","0","0","0","0","0","0","0","313","0","103","0","0.6","0,0219,","0",",0,1231,+","0",",0,1231,+","94.2",",0,0630,","36.1","0,0620,","1232.5","0","","","","","","","","","","","","","","","","","1534.7",",0","0",",0","22.89","0","27.71","0","18.08","0","",""
"USC00081654","1959","26.74222","-80.94","6.1","CLEWISTON, FL US","2134.4","","2134.4","0","139","0","100","0","0","","0","0","0","0","1","0","0","0","331","0","98","0","0.0","0,0111,","0",",0,1231,+","0",",0,1231,+","101.9",",0,0520,","35.0","0,1017,+","1177.3","0","","","","","0.0","0,0111","","","160.0","","160.0","0","","","","","1705.1",",0","0",",0","23.67","0","28.45","0","18.89","0","",""
"USC00081654","1960","26.74222","-80.94","6.1","CLEWISTON, FL US","1955.7","","1955.7","0","122","0","92","0","0","","0","0","0","0","1","0","0","0","324","0","84","0","0.0","0,0122,","0",",0,1231,+","0",",0,1231,+","89.9",",0,0618,","34.4","0,0824,+","","","","","","","0.0","0,0122","","","247.5","","247.5","0","","","","","1533.4",",0","0",",0","22.98","0","27.81","0","18.15","0","",""
"USC00081654","1961","26.74222","-80.94","6.1","CLEWISTON, FL US","2031.8","","2031.8","0","96","0","64","0","0","","0","0","0","0","0","0","0","0","336","0","107","0","2.2","0,1229,","0",",0,1231,+","0",",0,1231,+","103.6",",0,0526,","35.6","0,0806,+","1360.1","0","","","","","","","","","206.2","","206.2","0","","","","","1126.4",",0","0",",0","23.40","0","28.74","0","18.05","0","",""
"USC00081654","1962","26.74222","-80.94","6.1","CLEWISTON, FL US","1995.3","","1995.3","0","127","0","79","0","0","","0","0","0","0","2","0","0","0","336","0","124","0","-1.7","0,1213,","0",",0,1231,+","0",",0,1231,+","73.2",",0,0921,","36.7","0,0726,","","","-1.7","0,1213","","","","","","","169.8","","169.8","0","","","","","1175.7",",0","0",",0","23.13","0","28.65","0","17.60","0","",""
